index,date,DeathsO,DeathsR
0,2020-04-12,663,296.0
1,2020-04-13,750,332.0
2,2020-04-14,847,406.0
3,2020-04-15,945,449.0
4,2020-04-16,1035,486.0
5,2020-04-17,1153,546.0
6,2020-04-18,1273,650.0
7,2020-04-19,1421,686.0
8,2020-04-20,1597,712.0
9,2020-04-21,1773,857.0
10,2020-04-22,1948,970.0
11,2020-04-23,2133,1069.0
12,2020-04-24,2353,1221.0
13,2020-04-25,2593,1305.0
14,2020-04-26,2854,1351.0
15,2020-04-27,3083,1434.0
16,2020-04-28,3323,1569.0
17,2020-04-29,3636,1732.0
18,2020-04-30,3925,1859.0
19,2020-05-01,4259,1972.0
20,2020-05-02,4555,2061.0
21,2020-05-03,4840,2154.0
22,2020-05-04,5196,2270.0
23,2020-05-05,5536,2507.0
24,2020-05-06,5862,2704.0
25,2020-05-07,6178,2961.0
26,2020-05-08,6526,3160.0
27,2020-05-09,6865,3353.0
28,2020-05-10,7215,3465.0
29,2020-05-11,7584,3573.0
30,2020-05-12,7978,3926.0
31,2020-05-13,8385,4220.0
32,2020-05-14,8836,4477.0
33,2020-05-15,9298,4767.0
34,2020-05-16,9733,5045.0
35,2020-05-17,10234,5177.0
36,2020-05-18,10734,5332.0
37,2020-05-19,11236,5666.0
38,2020-05-20,11724,6090.0
39,2020-05-21,12212,6510.0
40,2020-05-22,12693,6989.0
41,2020-05-23,13159,7179.0
42,2020-05-24,13674,7394.0
43,2020-05-25,14216,7633.0
44,2020-05-26,14754,8134.0
45,2020-05-27,15263,8597.0
46,2020-05-28,15796,9044.0
47,2020-05-29,16290,9415.0
48,2020-05-30,16822,9779.0
49,2020-05-31,17384,9930.0
50,2020-06-01,17994,10167.0
51,2020-06-02,18559,10637.0
52,2020-06-03,19165,11728.0
53,2020-06-04,19756,12545.0
54,2020-06-05,20309,13170.0
55,2020-06-06,20909,13511.0
56,2020-06-07,21545,13699.0
57,2020-06-08,22228,14053.0
58,2020-06-09,22859,14649.0
59,2020-06-10,23513,15357.0
60,2020-06-11,24120,15944.0
61,2020-06-12,24786,16448.0
62,2020-06-13,25413,16872.0
63,2020-06-14,26067,17141.0
64,2020-06-15,26724,17580.0
65,2020-06-16,27452,18310.0
66,2020-06-17,28157,19080.0
67,2020-06-18,28788,19747.0
68,2020-06-19,29397,20394.0
69,2020-06-20,29949,20781.0
70,2020-06-21,30587,21825.0
71,2020-06-22,31218,22584.0
72,2020-06-23,31823,23377.0
73,2020-06-24,32424,24324.0
74,2020-06-25,33008,25060.0
75,2020-06-26,33654,25779.0
76,2020-06-27,34304,26381.0
77,2020-06-28,34943,26648.0
78,2020-06-29,35641,27121.0
79,2020-06-30,36313,27769.0
80,2020-07-01,36963,28510.0
81,2020-07-02,37615,29189.0
82,2020-07-03,38269,29843.0
83,2020-07-04,38960,30366.0
84,2020-07-05,39672,30639.0
85,2020-07-06,40449,31119.0
86,2020-07-07,41220,32014.0
87,2020-07-08,41918,32796.0
88,2020-07-09,42638,33526.0
89,2020-07-10,43326,34191.0
90,2020-07-11,44029,34730.0
91,2020-07-12,44740,35006.0
92,2020-07-13,45519,35491.0
93,2020-07-14,46267,36327.0
94,2020-07-15,47025,36906.0
95,2020-07-16,47791,37574.0
96,2020-07-17,48509,38310.0
97,2020-07-18,49209,38888.0
98,2020-07-19,49967,39184.0
99,2020-07-20,50723,39485.0
100,2020-07-21,51513,40400.0
101,2020-07-22,52201,41190.0
102,2020-07-23,52944,41908.0
103,2020-07-24,53637,42645.0
104,2020-07-25,54369,43374.0
105,2020-07-26,55123,43680.0
106,2020-07-27,55874,44022.0
107,2020-07-28,56602,44876.0
108,2020-07-29,57244,45361.0
109,2020-07-30,57966,46000.0
110,2020-07-31,58614,46688.0
111,2020-08-01,59312,47472.0
112,2020-08-02,59962,47746.0
113,2020-08-03,60670,48012.0
114,2020-08-04,61409,48869.0
115,2020-08-05,62085,49698.0
116,2020-08-06,62743,50517.0
117,2020-08-07,63355,51311.0
118,2020-08-08,63999,52006.0
119,2020-08-09,64620,52298.0
120,2020-08-10,65267,53003.0
121,2020-08-11,65908,53929.0
122,2020-08-12,66483,54666.0
123,2020-08-13,67066,55293.0
124,2020-08-14,67614,55908.0
125,2020-08-15,68160,56543.0
126,2020-08-16,68709,56757.0
127,2020-08-17,69301,57023.0
128,2020-08-18,69823,57774.0
129,2020-08-19,70386,58481.0
130,2020-08-20,70906,59106.0
131,2020-08-21,71433,59610.0
132,2020-08-22,71964,60254.0
133,2020-08-23,72460,60480.0
134,2020-08-24,72965,60800.0
135,2020-08-25,73486,61450.0
136,2020-08-26,73982,62076.0
137,2020-08-27,74454,62594.0
138,2020-08-28,74955,63146.0
139,2020-08-29,75436,63819.0
140,2020-08-30,75942,64158.0
141,2020-08-31,76461,64414.0
142,2020-09-01,76936,65241.0
143,2020-09-02,77408,65816.0
144,2020-09-03,77878,66329.0
145,2020-09-04,78328,66851.0
146,2020-09-05,78757,67326.0
147,2020-09-06,79193,67558.0
148,2020-09-07,79652,67781.0
149,2020-09-08,80065,68484.0
150,2020-09-09,80514,69095.0
151,2020-09-10,80917,69649.0
152,2020-09-11,81325,70183.0
153,2020-09-12,81764,70604.0
154,2020-09-13,82136,70821.0
155,2020-09-14,82566,71049.0
156,2020-09-15,82984,71678.0
157,2020-09-16,83378,71978.0
158,2020-09-17,83754,72179.0
159,2020-09-18,84100,72803.0
160,2020-09-19,84479,73258.0
161,2020-09-20,84878,73493.0
162,2020-09-21,85262,73697.0
163,2020-09-22,85663,74348.0
164,2020-09-23,86041,74949.0
165,2020-09-24,86424,75439.0
166,2020-09-25,86765,75844.0
167,2020-09-26,87131,76243.0
168,2020-09-27,87476,76430.0
169,2020-09-28,87822,76603.0
170,2020-09-29,88167,77163.0
171,2020-09-30,88498,77646.0
172,2020-10-01,88841,78078.0
173,2020-10-02,89180,78492.0
174,2020-10-03,89528,78880.0
175,2020-10-04,89854,79088.0
176,2020-10-05,90205,
177,2020-10-06,90542,
178,2020-10-07,90871,
179,2020-10-08,91197,
180,2020-10-09,91500,
181,2020-10-10,91859,
182,2020-10-11,92202,
183,2020-10-12,92596,
184,2020-10-13,92955,
185,2020-10-14,93299,
186,2020-10-15,93664,
187,2020-10-16,94008,
188,2020-10-17,94374,
189,2020-10-18,94752,
190,2020-10-19,95197,
191,2020-10-20,95589,
192,2020-10-21,96034,
193,2020-10-22,96467,
194,2020-10-23,96881,
195,2020-10-24,97284,
196,2020-10-25,97740,
197,2020-10-26,98195,
198,2020-10-27,98624,
199,2020-10-28,99064,
200,2020-10-29,99501,
201,2020-10-30,99931,
