index,date,CasesO,DeathsO,CasesR,DeathsR
0,2020-04-12,11696,727.0,4661.0,296.0
1,2020-04-13,12566,828.0,5014.0,332.0
2,2020-04-14,13638,941.0,5399.0,406.0
3,2020-04-15,14657,1058.0,5847.0,449.0
4,2020-04-16,15850,1165.0,6297.0,486.0
5,2020-04-17,17014,1308.0,6875.0,546.0
6,2020-04-18,18355,1445.0,7497.0,650.0
7,2020-04-19,19765,1627.0,8261.0,686.0
8,2020-04-20,21024,1838.0,8772.0,712.0
9,2020-04-21,23098,2055.0,9501.0,857.0
10,2020-04-22,24469,2271.0,10544.0,970.0
11,2020-04-23,25900,2502.0,11633.0,1069.0
12,2020-04-24,27374,2766.0,12872.0,1221.0
13,2020-04-25,29125,3056.0,13842.0,1305.0
14,2020-04-26,30938,3365.0,14676.0,1351.0
15,2020-04-27,32560,3649.0,15529.0,1434.0
16,2020-04-28,34546,3972.0,16752.0,1569.0
17,2020-04-29,36286,4357.0,17799.0,1732.0
18,2020-04-30,37855,4709.0,19224.0,1859.0
19,2020-05-01,40000,5119.0,20739.0,1972.0
20,2020-05-02,42994,5476.0,22088.0,2061.0
21,2020-05-03,45097,5843.0,23471.0,2154.0
22,2020-05-04,47085,6303.0,24905.0,2270.0
23,2020-05-05,49601,6753.0,26025.0,2507.0
24,2020-05-06,52157,7168.0,27634.0,2704.0
25,2020-05-07,54445,7575.0,29616.0,2961.0
26,2020-05-08,56954,8016.0,31522.0,3160.0
27,2020-05-09,59872,8434.0,33460.0,3353.0
28,2020-05-10,62467,8889.0,35022.0,3465.0
29,2020-05-11,65971,9350.0,36327.0,3573.0
30,2020-05-12,69189,9837.0,38324.0,3926.0
31,2020-05-13,72110,10331.0,40186.0,4220.0
32,2020-05-14,74952,10879.0,42595.0,4477.0
33,2020-05-15,77830,11436.0,45032.0,4767.0
34,2020-05-16,82062,11970.0,47144.0,5045.0
35,2020-05-17,85202,12554.0,49219.0,5177.0
36,2020-05-18,88262,13146.0,51633.0,5332.0
37,2020-05-19,92674,13726.0,54346.0,5666.0
38,2020-05-20,96092,14295.0,56594.0,6090.0
39,2020-05-21,100790,14869.0,59567.0,6510.0
40,2020-05-22,104007,15426.0,62527.0,6989.0
41,2020-05-23,108036,15964.0,65856.0,7179.0
42,2020-05-24,111742,16570.0,68620.0,7394.0
43,2020-05-25,115228,17198.0,71104.0,7633.0
44,2020-05-26,120468,17813.0,74560.0,8134.0
45,2020-05-27,124312,18409.0,78023.0,8597.0
46,2020-05-28,127992,19035.0,81400.0,9044.0
47,2020-05-29,132184,19612.0,84627.0,9415.0
48,2020-05-30,136398,20222.0,87512.0,9779.0
49,2020-05-31,140463,20852.0,90664.0,9930.0
50,2020-06-01,144241,21543.0,93434.0,10167.0
51,2020-06-02,151148,22193.0,97325.0,10637.0
52,2020-06-03,155478,22868.0,101238.0,11728.0
