año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 117.0, -1.0, -1.0, 124.7, 163.5, 223.9, 284.4, 325.4
2020.0, 4.0, 2.0, 142.0, -1.0, -1.0, 160.5, 210.1, 284.8, 364.5, 417.6
2020.0, 4.0, 3.0, 171.0, -1.0, -1.0, 202.4, 263.1, 353.4, 456.1, 521.0
2020.0, 4.0, 4.0, 204.0, -1.0, -1.0, 250.5, 321.4, 428.6, 557.3, 636.3
2020.0, 4.0, 5.0, 243.0, -1.0, -1.0, 304.7, 384.2, 509.0, 666.7, 758.5
2020.0, 4.0, 6.0, 287.0, -1.0, -1.0, 360.8, 450.8, 593.7, 783.1, 880.8
2020.0, 4.0, 7.0, 338.0, -1.0, -1.0, 422.4, 520.4, 681.8, 905.5, 1001.5
2020.0, 4.0, 8.0, 396.0, -1.0, -1.0, 489.9, 592.8, 776.3, 1033.3, 1128.9
2020.0, 4.0, 9.0, 461.0, -1.0, -1.0, 563.6, 667.7, 874.3, 1167.3, 1257.0
2020.0, 4.0, 10.0, 534.0, -1.0, -1.0, 644.0, 759.5, 975.8, 1296.2, 1385.7
2020.0, 4.0, 11.0, 617.0, -1.0, -1.0, 731.4, 867.1, 1083.0, 1417.5, 1515.0
2020.0, 4.0, 12.0, 727.0, -1.0, -1.0, 817.3, 983.7, 1198.2, 1556.2, 1645.4
2020.0, 4.0, 13.0, 828.0, -1.0, -1.0, 902.9, 1109.3, 1319.0, 1704.8, 1778.9
2020.0, 4.0, 14.0, 941.0, -1.0, -1.0, 994.0, 1242.6, 1441.3, 1863.7, 1934.1
2020.0, 4.0, 15.0, 1058.0, -1.0, -1.0, 1091.4, 1368.4, 1561.7, 2017.9, 2096.0
2020.0, 4.0, 16.0, 1165.0, -1.0, -1.0, 1214.7, 1491.4, 1687.5, 2166.8, 2272.5
2020.0, 4.0, 17.0, 1308.0, -1.0, -1.0, 1318.8, 1619.3, 1799.6, 2328.4, 2467.0
2020.0, 4.0, 18.0, 1445.0, -1.0, -1.0, 1428.2, 1784.3, 1922.7, 2499.0, 2664.0
2020.0, 4.0, 19.0, 1627.0, -1.0, -1.0, 1555.5, 1918.9, 2107.6, 2679.2, 2874.8
2020.0, 4.0, 20.0, 1838.0, -1.0, -1.0, 1693.5, 2057.4, 2274.8, 2923.5, 3145.7
2020.0, 4.0, 21.0, 2055.0, -1.0, -1.0, 1841.6, 2197.1, 2453.4, 3122.6, 3451.0
2020.0, 4.0, 22.0, 2271.0, -1.0, -1.0, 2000.3, 2337.5, 2653.6, 3342.5, 3724.4
2020.0, 4.0, 23.0, 2502.0, -1.0, -1.0, 2170.5, 2496.7, 2863.8, 3574.4, 4012.1
2020.0, 4.0, 24.0, 2766.0, -1.0, -1.0, 2352.6, 2662.5, 3084.3, 3793.1, 4314.7
2020.0, 4.0, 25.0, 3056.0, -1.0, -1.0, 2547.5, 2834.5, 3298.4, 4018.2, 4632.6
2020.0, 4.0, 26.0, 3365.0, -1.0, -1.0, 2755.5, 3012.7, 3521.9, 4250.8, 4966.1
2020.0, 4.0, 27.0, 3649.0, -1.0, -1.0, 2944.0, 3197.5, 3756.7, 4494.4, 5326.6
