año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 21.0, -1.0, -1.0, 29.6, 39.7, 52.2, 68.5, 80.6
2020.0, 4.0, 2.0, 25.0, -1.0, -1.0, 35.0, 46.7, 60.9, 80.7, 94.6
2020.0, 4.0, 3.0, 29.0, -1.0, -1.0, 40.3, 53.0, 69.0, 91.9, 105.7
2020.0, 4.0, 4.0, 33.0, -1.0, -1.0, 45.6, 58.3, 76.0, 101.7, 113.0
2020.0, 4.0, 5.0, 39.0, -1.0, -1.0, 50.8, 62.8, 81.8, 110.0, 118.9
2020.0, 4.0, 6.0, 44.0, -1.0, -1.0, 56.1, 68.2, 86.7, 115.1, 123.3
2020.0, 4.0, 7.0, 51.0, -1.0, -1.0, 61.1, 75.1, 91.5, 118.9, 125.9
2020.0, 4.0, 8.0, 58.0, -1.0, -1.0, 64.6, 82.5, 96.0, 123.6, 128.9
2020.0, 4.0, 9.0, 65.0, -1.0, -1.0, 68.2, 88.0, 96.0, 126.3, 132.6
2020.0, 4.0, 10.0, 73.0, -1.0, -1.0, 70.4, 89.9, 100.3, 128.1, 138.9
2020.0, 4.0, 11.0, 83.0, -1.0, -1.0, 72.8, 93.9, 104.6, 130.2, 144.4
2020.0, 4.0, 12.0, 110.0, -1.0, -1.0, 75.7, 97.6, 108.0, 132.1, 150.1
2020.0, 4.0, 13.0, 101.0, -1.0, -1.0, 79.3, 100.7, 112.7, 136.3, 156.3
2020.0, 4.0, 14.0, 113.0, -1.0, -1.0, 83.7, 112.8, 120.4, 142.8, 162.9
2020.0, 4.0, 15.0, 117.0, -1.0, -1.0, 89.0, 118.0, 128.2, 150.8, 170.0
2020.0, 4.0, 16.0, 107.0, -1.0, -1.0, 95.3, 123.0, 134.5, 159.9, 196.5
2020.0, 4.0, 17.0, 143.0, -1.0, -1.0, 102.6, 128.0, 141.3, 168.6, 208.8
2020.0, 4.0, 18.0, 137.0, -1.0, -1.0, 109.3, 133.0, 148.8, 178.0, 220.7
2020.0, 4.0, 19.0, 182.0, -1.0, -1.0, 116.6, 138.0, 156.8, 186.2, 233.1
2020.0, 4.0, 20.0, 211.0, -1.0, -1.0, 125.0, 144.3, 164.5, 195.8, 246.0
2020.0, 4.0, 21.0, 217.0, -1.0, -1.0, 134.1, 150.6, 173.4, 206.5, 259.5
2020.0, 4.0, 22.0, 216.0, -1.0, -1.0, 141.9, 156.7, 182.7, 218.0, 273.4
2020.0, 4.0, 23.0, 231.0, -1.0, -1.0, 148.3, 164.4, 194.9, 230.2, 290.8
2020.0, 4.0, 24.0, 264.0, -1.0, -1.0, 155.0, 178.3, 208.4, 243.6, 309.8
2020.0, 4.0, 25.0, 290.0, -1.0, -1.0, 161.9, 188.6, 218.3, 257.1, 329.7
2020.0, 4.0, 26.0, 309.0, -1.0, -1.0, 169.6, 197.2, 226.4, 271.7, 350.7
2020.0, 4.0, 27.0, 284.0, -1.0, -1.0, 179.9, 206.0, 235.8, 287.3, 372.6
2020.0, 4.0, 28.0, 323.0, -1.0, -1.0, 188.8, 215.1, 251.3, 303.3, 383.4
2020.0, 4.0, 29.0, 385.0, -1.0, -1.0, 196.4, 224.3, 263.1, 319.4, 394.1
2020.0, 4.0, 30.0, 352.0, -1.0, -1.0, 204.2, 233.2, 274.6, 336.6, 404.7
2020.0, 5.0, 1.0, 410.0, -1.0, -1.0, 211.4, 242.2, 286.5, 357.0, 415.9
2020.0, 5.0, 2.0, 357.0, -1.0, -1.0, 219.1, 251.5, 299.9, 377.2, 432.8
2020.0, 5.0, 3.0, 367.0, -1.0, -1.0, 229.0, 264.7, 314.2, 396.9, 449.7
2020.0, 5.0, 4.0, 460.0, -1.0, -1.0, 239.3, 278.4, 328.8, 410.2, 466.6
2020.0, 5.0, 5.0, 450.0, -1.0, -1.0, 250.0, 288.1, 343.9, 417.5, 483.2
2020.0, 5.0, 6.0, 415.0, -1.0, -1.0, 261.1, 296.1, 358.8, 430.2, 499.6
2020.0, 5.0, 7.0, 407.0, -1.0, -1.0, 271.9, 304.1, 373.0, 448.2, 515.6
2020.0, 5.0, 8.0, 441.0, -1.0, -1.0, 282.3, 312.2, 387.5, 467.4, 531.2
2020.0, 5.0, 9.0, 418.0, -1.0, -1.0, 293.0, 320.4, 402.2, 485.2, 550.6
2020.0, 5.0, 10.0, 455.0, -1.0, -1.0, 273.1, 299.2, 369.9, 450.8, 513.3
2020.0, 5.0, 11.0, 461.0, -1.0, -1.0, 314.1, 346.8, 417.5, 515.2, 589.8
2020.0, 5.0, 12.0, 487.0, -1.0, -1.0, 322.5, 362.2, 424.2, 526.2, 610.1
2020.0, 5.0, 13.0, 494.0, -1.0, -1.0, 330.9, 377.6, 430.7, 536.1, 629.9
2020.0, 5.0, 14.0, 548.0, -1.0, -1.0, 339.3, 387.6, 436.9, 549.3, 649.2
2020.0, 5.0, 15.0, 557.0, -1.0, -1.0, 347.9, 395.1, 446.4, 564.7, 667.8
2020.0, 5.0, 16.0, 534.0, -1.0, -1.0, 356.5, 402.4, 460.2, 580.7, 685.4
2020.0, 5.0, 17.0, 584.0, -1.0, -1.0, 365.8, 409.5, 471.9, 595.6, 704.0
2020.0, 5.0, 18.0, 592.0, -1.0, -1.0, 378.8, 419.6, 477.3, 610.7, 726.3
2020.0, 5.0, 19.0, 580.0, -1.0, -1.0, 393.1, 426.1, 487.5, 616.2, 744.6
2020.0, 5.0, 20.0, 569.0, -1.0, -1.0, 409.1, 434.4, 495.8, 622.6, 757.5
2020.0, 5.0, 21.0, 574.0, -1.0, -1.0, 426.8, 444.0, 510.8, 640.4, 729.3
2020.0, 5.0, 22.0, 557.0, -1.0, -1.0, 438.4, 466.2, 522.0, 641.7, 712.8
2020.0, 5.0, 23.0, 538.0, -1.0, -1.0, 450.4, 480.5, 537.1, 653.5, 726.6
2020.0, 5.0, 24.0, 606.0, -1.0, -1.0, 463.6, 488.5, 565.4, 652.2, 746.0
2020.0, 5.0, 25.0, 628.0, -1.0, -1.0, 473.7, 492.6, 583.8, 678.7, 763.7
2020.0, 5.0, 26.0, 615.0, -1.0, -1.0, 481.6, 503.8, 602.7, 670.3, 789.9
2020.0, 5.0, 27.0, 596.0, -1.0, -1.0, 488.6, 507.2, 597.5, 724.6, 855.4
2020.0, 5.0, 28.0, 626.0, -1.0, -1.0, 485.1, 518.0, 580.8, 740.1, 926.4
2020.0, 5.0, 29.0, 577.0, -1.0, -1.0, 472.8, 527.9, 581.6, 762.7, 1003.0
2020.0, 5.0, 30.0, 610.0, -1.0, -1.0, 468.7, 513.2, 593.8, 807.6, 1001.8
2020.0, 5.0, 31.0, 630.0, -1.0, -1.0, 464.9, 517.3, 600.7, 855.9, 1035.0
2020.0, 6.0, 1.0, -1.0, -1.0, -1.0, 452.9, 519.4, 597.6, 896.5, 1106.3
2020.0, 6.0, 2.0, -1.0, -1.0, -1.0, 431.7, 519.9, 605.7, 868.8, 1184.1
2020.0, 6.0, 3.0, -1.0, -1.0, -1.0, 369.2, 467.0, 552.6, 806.6, 1139.3
2020.0, 6.0, 4.0, -1.0, -1.0, -1.0, 389.9, 516.6, 628.0, 928.0, 1349.2
2020.0, 6.0, 5.0, -1.0, -1.0, -1.0, 369.6, 513.1, 634.0, 961.5, 1438.0
2020.0, 6.0, 6.0, -1.0, -1.0, -1.0, 350.4, 512.7, 635.7, 994.9, 1527.2
2020.0, 6.0, 7.0, -1.0, -1.0, -1.0, 332.2, 516.7, 632.6, 1028.2, 1616.3
2020.0, 6.0, 8.0, -1.0, -1.0, -1.0, 317.4, 519.9, 615.7, 1062.6, 1705.2
2020.0, 6.0, 9.0, -1.0, -1.0, -1.0, 305.1, 522.0, 617.8, 1103.2, 1811.4
2020.0, 6.0, 10.0, -1.0, -1.0, -1.0, 292.9, 516.0, 624.2, 1162.8, 1928.8
2020.0, 6.0, 11.0, -1.0, -1.0, -1.0, 280.7, 504.7, 640.7, 1263.4, 2053.7
2020.0, 6.0, 12.0, -1.0, -1.0, -1.0, 274.4, 490.6, 680.8, 1435.7, 2212.3
2020.0, 6.0, 13.0, -1.0, -1.0, -1.0, 277.8, 477.8, 730.7, 1581.6, 2305.9
2020.0, 6.0, 14.0, -1.0, -1.0, -1.0, 290.0, 466.3, 803.0, 1626.4, 2532.1
2020.0, 6.0, 15.0, -1.0, -1.0, -1.0, 312.5, 450.8, 861.1, 1666.5, 2855.0
2020.0, 6.0, 16.0, -1.0, -1.0, -1.0, 304.8, 449.4, 893.8, 1790.5, 3447.1
2020.0, 6.0, 17.0, -1.0, -1.0, -1.0, 293.0, 466.1, 914.2, 2048.5, 3939.7
2020.0, 6.0, 18.0, -1.0, -1.0, -1.0, 281.4, 471.0, 909.4, 2274.4, 4453.1
2020.0, 6.0, 19.0, -1.0, -1.0, -1.0, 270.0, 473.1, 910.8, 2484.5, 5000.6
2020.0, 6.0, 20.0, -1.0, -1.0, -1.0, 252.2, 475.3, 1015.5, 2822.0, 5566.1
