año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 423.0, -1.0, -1.0, 489.6, 632.4, 689.2, 914.7, 958.0
2020.0, 4.0, 2.0, 459.0, -1.0, -1.0, 502.9, 618.1, 712.0, 914.7, 994.9
2020.0, 4.0, 3.0, 496.0, -1.0, -1.0, 515.9, 665.9, 744.5, 915.7, 1031.8
2020.0, 4.0, 4.0, 535.0, -1.0, -1.0, 501.5, 690.5, 766.3, 912.3, 1072.6
2020.0, 4.0, 5.0, 577.0, -1.0, -1.0, 491.1, 707.9, 811.7, 957.7, 1115.9
2020.0, 4.0, 6.0, 619.0, -1.0, -1.0, 544.7, 736.2, 849.5, 988.9, 1162.2
2020.0, 4.0, 7.0, 664.0, -1.0, -1.0, 605.8, 774.7, 883.4, 1030.5, 1212.8
2020.0, 4.0, 8.0, 711.0, -1.0, -1.0, 653.3, 873.3, 936.0, 1090.7, 1268.6
2020.0, 4.0, 9.0, 759.0, -1.0, -1.0, 711.9, 915.8, 991.4, 1181.6, 1416.0
2020.0, 4.0, 10.0, 809.0, -1.0, -1.0, 778.2, 961.6, 1054.9, 1284.9, 1587.1
2020.0, 4.0, 11.0, 861.0, -1.0, -1.0, 831.2, 996.7, 1121.7, 1341.8, 1678.3
2020.0, 4.0, 12.0, 931.0, -1.0, -1.0, 893.4, 1036.2, 1184.1, 1406.8, 1772.9
2020.0, 4.0, 13.0, 870.0, -1.0, -1.0, 958.4, 1084.0, 1246.9, 1484.6, 1870.9
2020.0, 4.0, 14.0, 1072.0, -1.0, -1.0, 1021.4, 1128.0, 1313.5, 1567.8, 1972.3
2020.0, 4.0, 15.0, 1019.0, -1.0, -1.0, 1067.6, 1173.8, 1397.9, 1656.4, 2089.8
2020.0, 4.0, 16.0, 1193.0, -1.0, -1.0, 1115.7, 1274.6, 1496.8, 1752.4, 2226.2
2020.0, 4.0, 17.0, 1164.0, -1.0, -1.0, 1165.6, 1359.5, 1573.1, 1853.0, 2370.1
2020.0, 4.0, 18.0, 1341.0, -1.0, -1.0, 1220.4, 1421.0, 1631.9, 1963.9, 2521.8
2020.0, 4.0, 19.0, 1410.0, -1.0, -1.0, 1295.1, 1484.8, 1698.4, 2079.2, 2681.2
2020.0, 4.0, 20.0, 1259.0, -1.0, -1.0, 1359.6, 1550.6, 1808.1, 2197.2, 2773.1
2020.0, 4.0, 21.0, 2074.0, -1.0, -1.0, 1414.3, 1618.6, 1897.2, 2317.1, 2851.3
2020.0, 4.0, 22.0, 1371.0, -1.0, -1.0, 1470.6, 1683.1, 1980.8, 2448.1, 2928.2
2020.0, 4.0, 23.0, 1431.0, -1.0, -1.0, 1522.5, 1748.9, 2066.8, 2602.0, 3012.3
2020.0, 4.0, 24.0, 1474.0, -1.0, -1.0, 1576.9, 1815.9, 2162.8, 2755.3, 3136.4
2020.0, 4.0, 25.0, 1751.0, -1.0, -1.0, 1648.1, 1918.2, 2265.8, 2905.9, 3260.4
2020.0, 4.0, 26.0, 1813.0, -1.0, -1.0, 1722.2, 2011.0, 2372.1, 2967.4, 3383.9
2020.0, 4.0, 27.0, 1622.0, -1.0, -1.0, 1799.3, 2077.8, 2481.5, 3025.1, 3506.1
2020.0, 4.0, 28.0, 1986.0, -1.0, -1.0, 1879.5, 2135.6, 2589.7, 3147.3, 3626.3
2020.0, 4.0, 29.0, 1740.0, -1.0, -1.0, 1959.3, 2193.9, 2692.9, 3288.7, 3743.8
2020.0, 4.0, 30.0, 1569.0, -1.0, -1.0, 2034.6, 2252.6, 2798.1, 3435.7, 3857.9
2020.0, 5.0, 1.0, 2145.0, -1.0, -1.0, 2112.0, 2311.5, 2905.1, 3572.0, 3991.4
2020.0, 5.0, 2.0, 2994.0, -1.0, -1.0, 2191.4, 2400.9, 2968.7, 3695.0, 4143.1
2020.0, 5.0, 3.0, 2103.0, -1.0, -1.0, 2271.1, 2512.2, 3018.2, 3801.9, 4293.4
2020.0, 5.0, 4.0, 1988.0, -1.0, -1.0, 2331.0, 2622.3, 3066.1, 3858.2, 4441.5
2020.0, 5.0, 5.0, 2516.0, -1.0, -1.0, 2391.5, 2733.9, 3112.1, 3961.3, 4586.6
2020.0, 5.0, 6.0, 2556.0, -1.0, -1.0, 2452.6, 2809.9, 3156.2, 4024.1, 4727.8
2020.0, 5.0, 7.0, 2288.0, -1.0, -1.0, 2514.0, 2864.1, 3237.4, 4117.0, 4864.2
2020.0, 5.0, 8.0, 2509.0, -1.0, -1.0, 2575.9, 2915.6, 3337.3, 4235.6, 4994.8
2020.0, 5.0, 9.0, 2918.0, -1.0, -1.0, 2642.1, 2957.0, 3420.0, 4348.2, 5131.6
2020.0, 5.0, 10.0, 2595.0, -1.0, -1.0, 2728.5, 2995.1, 3432.2, 4436.3, 4989.0
2020.0, 5.0, 11.0, 3504.0, -1.0, -1.0, 2808.6, 3030.3, 3467.1, 4386.2, 5054.7
2020.0, 5.0, 12.0, 3218.0, -1.0, -1.0, 2805.8, 2940.0, 3516.3, 4418.9, 5174.4
2020.0, 5.0, 13.0, 2921.0, -1.0, -1.0, 2896.9, 3001.7, 3499.2, 4512.7, 5257.6
2020.0, 5.0, 14.0, 2842.0, -1.0, -1.0, 2956.4, 3133.6, 3500.1, 4536.5, 5312.3
2020.0, 5.0, 15.0, 2878.0, -1.0, -1.0, 3024.5, 3364.3, 3647.2, 4700.0, 5327.4
2020.0, 5.0, 16.0, 4232.0, -1.0, -1.0, 3099.5, 3480.7, 3864.1, 4710.4, 5338.3
2020.0, 5.0, 17.0, 3140.0, -1.0, -1.0, 3176.8, 3556.6, 4129.8, 4772.1, 5532.3
2020.0, 5.0, 18.0, 3060.0, -1.0, -1.0, 3410.5, 3619.3, 4303.0, 4780.5, 5628.4
2020.0, 5.0, 19.0, 4412.0, -1.0, -1.0, 3544.7, 3650.9, 4245.9, 5206.0, 6089.8
2020.0, 5.0, 20.0, 3418.0, -1.0, -1.0, 3446.0, 3796.6, 4101.8, 5339.1, 6611.7
2020.0, 5.0, 21.0, 4698.0, -1.0, -1.0, 3358.2, 3729.5, 4189.9, 5517.3, 7147.9
2020.0, 5.0, 22.0, 3217.0, -1.0, -1.0, 3337.3, 3760.9, 4277.9, 5826.3, 7102.2
2020.0, 5.0, 23.0, 4029.0, -1.0, -1.0, 3247.2, 3782.7, 4296.0, 6174.8, 7430.6
2020.0, 5.0, 24.0, 3706.0, -1.0, -1.0, 3141.2, 3800.5, 4308.1, 6275.9, 7950.4
2020.0, 5.0, 25.0, 3486.0, -1.0, -1.0, 2979.8, 3781.8, 4371.4, 6255.5, 8573.2
2020.0, 5.0, 26.0, 5240.0, -1.0, -1.0, 2826.9, 3759.0, 4444.8, 6498.7, 9214.9
2020.0, 5.0, 27.0, 3844.0, -1.0, -1.0, 2681.4, 3731.7, 4531.4, 6743.1, 9870.3
2020.0, 5.0, 28.0, 3680.0, -1.0, -1.0, 2542.9, 3699.0, 4544.4, 6987.7, 10533.9
2020.0, 5.0, 29.0, 4192.0, -1.0, -1.0, 2411.1, 3686.2, 4557.1, 7231.2, 11199.9
2020.0, 5.0, 30.0, 4214.0, -1.0, -1.0, 2314.2, 3708.9, 4453.9, 7472.6, 11862.9
2020.0, 5.0, 31.0, 4065.0, -1.0, -1.0, 2225.0, 3731.5, 4426.7, 7710.6, 12517.1
2020.0, 6.0, 1.0, -1.0, -1.0, -1.0, 2137.6, 3721.9, 4436.8, 7944.1, 13190.5
2020.0, 6.0, 2.0, -1.0, -1.0, -1.0, 2052.0, 3652.0, 4442.2, 8171.9, 14033.8
2020.0, 6.0, 3.0, -1.0, -1.0, -1.0, 1968.8, 3496.1, 4442.9, 8402.7, 14885.8
2020.0, 6.0, 4.0, -1.0, -1.0, -1.0, 1894.9, 3333.0, 4446.5, 8609.5, 15666.9
