año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 156.0, -1.0, -1.0, 149.3, 165.4, 210.0, 247.2, 371.3
2020.0, 4.0, 2.0, 172.0, -1.0, -1.0, 163.3, 189.3, 228.3, 288.9, 412.3
2020.0, 4.0, 3.0, 189.0, -1.0, -1.0, 179.7, 218.0, 251.8, 323.0, 466.8
2020.0, 4.0, 4.0, 209.0, -1.0, -1.0, 196.9, 241.0, 283.9, 379.7, 525.0
2020.0, 4.0, 5.0, 229.0, -1.0, -1.0, 216.5, 258.9, 314.9, 417.9, 555.6
2020.0, 4.0, 6.0, 251.0, -1.0, -1.0, 237.2, 279.2, 342.4, 471.2, 589.6
2020.0, 4.0, 7.0, 274.0, -1.0, -1.0, 257.5, 298.9, 378.5, 494.4, 629.3
2020.0, 4.0, 8.0, 299.0, -1.0, -1.0, 273.9, 323.9, 400.9, 518.6, 659.1
2020.0, 4.0, 9.0, 325.0, -1.0, -1.0, 291.8, 351.8, 421.4, 549.4, 690.1
2020.0, 4.0, 10.0, 353.0, -1.0, -1.0, 312.0, 380.8, 450.3, 577.6, 718.7
2020.0, 4.0, 11.0, 382.0, -1.0, -1.0, 335.4, 403.1, 477.5, 606.6, 745.4
2020.0, 4.0, 12.0, 620.0, -1.0, -1.0, 360.9, 431.4, 510.1, 638.5, 774.7
2020.0, 4.0, 13.0, 353.0, -1.0, -1.0, 395.0, 462.5, 545.4, 674.1, 808.4
2020.0, 4.0, 14.0, 385.0, -1.0, -1.0, 424.9, 487.4, 578.3, 713.2, 846.5
2020.0, 4.0, 15.0, 448.0, -1.0, -1.0, 454.9, 523.2, 624.3, 730.1, 890.6
2020.0, 4.0, 16.0, 450.0, -1.0, -1.0, 482.9, 555.5, 664.4, 759.2, 935.4
2020.0, 4.0, 17.0, 578.0, -1.0, -1.0, 520.9, 585.8, 686.6, 813.4, 979.6
2020.0, 4.0, 18.0, 622.0, -1.0, -1.0, 559.0, 623.8, 734.8, 848.4, 1028.3
2020.0, 4.0, 19.0, 764.0, -1.0, -1.0, 592.5, 656.0, 776.5, 896.3, 1084.3
2020.0, 4.0, 20.0, 511.0, -1.0, -1.0, 625.8, 699.8, 831.1, 949.0, 1123.5
2020.0, 4.0, 21.0, 729.0, -1.0, -1.0, 659.4, 733.7, 872.0, 998.0, 1165.4
2020.0, 4.0, 22.0, 1043.0, -1.0, -1.0, 685.9, 783.7, 920.2, 1060.6, 1216.7
2020.0, 4.0, 23.0, 1089.0, -1.0, -1.0, 714.4, 828.1, 985.7, 1125.5, 1267.7
2020.0, 4.0, 24.0, 1239.0, -1.0, -1.0, 747.7, 857.7, 1039.2, 1195.6, 1337.9
2020.0, 4.0, 25.0, 970.0, -1.0, -1.0, 785.9, 898.1, 1091.0, 1281.1, 1424.0
2020.0, 4.0, 26.0, 834.0, -1.0, -1.0, 836.2, 946.4, 1142.7, 1354.4, 1510.1
2020.0, 4.0, 27.0, 853.0, -1.0, -1.0, 874.1, 994.2, 1196.1, 1422.3, 1594.1
