año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, -1.0, -1.0, -1.0, 122.9, 138.2, 179.7, 235.6, 359.5
2020.0, 4.0, 2.0, -1.0, -1.0, -1.0, 142.4, 156.8, 205.2, 260.8, 392.2
2020.0, 4.0, 3.0, -1.0, -1.0, -1.0, 162.4, 177.6, 230.5, 290.8, 432.4
2020.0, 4.0, 4.0, -1.0, -1.0, -1.0, 182.5, 198.7, 260.5, 312.8, 468.9
2020.0, 4.0, 5.0, -1.0, -1.0, -1.0, 203.9, 223.3, 288.6, 340.2, 518.9
2020.0, 4.0, 6.0, -1.0, -1.0, -1.0, 225.2, 256.5, 317.4, 388.3, 570.9
2020.0, 4.0, 7.0, -1.0, -1.0, -1.0, 245.5, 292.7, 343.8, 433.5, 627.5
2020.0, 4.0, 8.0, -1.0, -1.0, -1.0, 271.4, 330.7, 385.6, 504.8, 729.9
2020.0, 4.0, 9.0, -1.0, -1.0, -1.0, 294.1, 359.2, 425.7, 567.6, 779.9
2020.0, 4.0, 10.0, -1.0, -1.0, -1.0, 321.3, 380.8, 463.0, 621.4, 819.4
2020.0, 4.0, 11.0, -1.0, -1.0, -1.0, 349.9, 407.1, 498.8, 682.4, 858.2
2020.0, 4.0, 12.0, -1.0, -1.0, -1.0, 380.0, 434.2, 538.0, 713.0, 903.4
2020.0, 4.0, 13.0, -1.0, -1.0, -1.0, 407.5, 472.1, 570.6, 742.4, 948.1
2020.0, 4.0, 14.0, -1.0, -1.0, -1.0, 431.9, 516.0, 618.3, 790.1, 985.5
2020.0, 4.0, 15.0, -1.0, -1.0, -1.0, 461.7, 557.7, 660.2, 835.4, 1023.4
2020.0, 4.0, 16.0, -1.0, -1.0, -1.0, 497.3, 594.0, 706.0, 886.8, 1077.0
2020.0, 4.0, 17.0, -1.0, -1.0, -1.0, 539.0, 640.9, 752.8, 940.0, 1132.6
2020.0, 4.0, 18.0, -1.0, -1.0, -1.0, 589.8, 684.3, 808.9, 997.0, 1189.3
2020.0, 4.0, 19.0, -1.0, -1.0, -1.0, 629.5, 724.3, 858.9, 1054.2, 1247.9
2020.0, 4.0, 20.0, -1.0, -1.0, -1.0, 673.4, 773.7, 926.6, 1071.8, 1311.5
2020.0, 4.0, 21.0, -1.0, -1.0, -1.0, 717.2, 816.2, 975.9, 1125.1, 1375.0
2020.0, 4.0, 22.0, -1.0, -1.0, -1.0, 776.4, 869.5, 1008.3, 1197.5, 1438.4
2020.0, 4.0, 23.0, -1.0, -1.0, -1.0, 827.2, 918.9, 1093.5, 1263.0, 1520.4
2020.0, 4.0, 24.0, -1.0, -1.0, -1.0, 873.7, 967.8, 1146.5, 1321.8, 1599.8
2020.0, 4.0, 25.0, -1.0, -1.0, -1.0, 922.9, 1032.3, 1224.8, 1396.0, 1645.7
2020.0, 4.0, 26.0, -1.0, -1.0, -1.0, 969.0, 1088.7, 1282.6, 1469.4, 1707.7
2020.0, 4.0, 27.0, -1.0, -1.0, -1.0, 1008.1, 1154.0, 1363.8, 1560.3, 1787.0
2020.0, 4.0, 28.0, -1.0, -1.0, -1.0, 1049.8, 1218.9, 1452.6, 1672.4, 1868.3
2020.0, 4.0, 29.0, -1.0, -1.0, -1.0, 1099.1, 1258.5, 1536.0, 1772.6, 1967.8
2020.0, 4.0, 30.0, -1.0, -1.0, -1.0, 1156.1, 1322.7, 1613.8, 1889.2, 2093.2
2020.0, 5.0, 1.0, -1.0, -1.0, -1.0, 1236.1, 1395.3, 1675.2, 1978.5, 2217.9
2020.0, 5.0, 2.0, -1.0, -1.0, -1.0, 1285.6, 1469.7, 1752.5, 2096.6, 2346.2
2020.0, 5.0, 3.0, -1.0, -1.0, -1.0, 1358.8, 1567.9, 1814.9, 2217.0, 2488.3
2020.0, 5.0, 4.0, -1.0, -1.0, -1.0, 1419.1, 1664.3, 1902.3, 2356.0, 2605.8
2020.0, 5.0, 5.0, -1.0, -1.0, -1.0, 1482.5, 1741.4, 1994.6, 2504.8, 2749.8
2020.0, 5.0, 6.0, -1.0, -1.0, -1.0, 1539.2, 1802.3, 2098.2, 2648.5, 2917.2
2020.0, 5.0, 7.0, -1.0, -1.0, -1.0, 1597.4, 1867.5, 2183.7, 2768.2, 3054.2
2020.0, 5.0, 8.0, -1.0, -1.0, -1.0, 1675.7, 1927.2, 2254.8, 2922.6, 3181.9
2020.0, 5.0, 9.0, -1.0, -1.0, -1.0, 1750.5, 2055.6, 2299.7, 3083.4, 3343.1
2020.0, 5.0, 10.0, -1.0, -1.0, -1.0, 1805.0, 2139.8, 2411.4, 3228.3, 3501.5
2020.0, 5.0, 11.0, -1.0, -1.0, -1.0, 1870.3, 2223.7, 2558.6, 3309.2, 3735.8
2020.0, 5.0, 12.0, -1.0, -1.0, -1.0, 1936.4, 2244.9, 2713.5, 3435.0, 4000.4
2020.0, 5.0, 13.0, -1.0, -1.0, -1.0, 1982.9, 2265.4, 2845.6, 3554.7, 4142.8
2020.0, 5.0, 14.0, -1.0, -1.0, -1.0, 2024.0, 2301.4, 2886.3, 3666.9, 4393.9
2020.0, 5.0, 15.0, -1.0, -1.0, -1.0, 2073.5, 2363.2, 3010.7, 3770.1, 4632.6
2020.0, 5.0, 16.0, -1.0, -1.0, -1.0, 2101.7, 2466.9, 3102.7, 3926.6, 4865.9
2020.0, 5.0, 17.0, -1.0, -1.0, -1.0, 2213.3, 2577.0, 3205.6, 4018.8, 5089.3
2020.0, 5.0, 18.0, -1.0, -1.0, -1.0, 2287.5, 2713.0, 3380.3, 4138.3, 5300.0
2020.0, 5.0, 19.0, -1.0, -1.0, -1.0, 2389.2, 2838.8, 3513.7, 4267.0, 5486.1
2020.0, 5.0, 20.0, -1.0, -1.0, -1.0, 2493.3, 2986.8, 3754.5, 4330.8, 5570.4
2020.0, 5.0, 21.0, -1.0, -1.0, -1.0, 2626.9, 3126.2, 3783.1, 4406.3, 5875.0
2020.0, 5.0, 22.0, -1.0, -1.0, -1.0, 2623.3, 3221.6, 3805.1, 4725.9, 5959.7
2020.0, 5.0, 23.0, -1.0, -1.0, -1.0, 2621.5, 3333.1, 3865.6, 4821.3, 5917.2
2020.0, 5.0, 24.0, -1.0, -1.0, -1.0, 2689.9, 3428.2, 4003.0, 5211.6, 6066.4
2020.0, 5.0, 25.0, -1.0, -1.0, -1.0, 2823.9, 3507.5, 4254.4, 5183.8, 6183.7
2020.0, 5.0, 26.0, -1.0, -1.0, -1.0, 2855.1, 3528.4, 4247.4, 5414.5, 6277.0
2020.0, 5.0, 27.0, -1.0, -1.0, -1.0, 2895.2, 3528.0, 4410.2, 5607.1, 6663.1
2020.0, 5.0, 28.0, -1.0, -1.0, -1.0, 2879.7, 3511.4, 4484.3, 5836.9, 7173.6
2020.0, 5.0, 29.0, -1.0, -1.0, -1.0, 2863.6, 3537.8, 4641.3, 6084.0, 7801.1
2020.0, 5.0, 30.0, -1.0, -1.0, -1.0, 2824.2, 3561.8, 4703.0, 6258.0, 8500.6
2020.0, 5.0, 31.0, -1.0, -1.0, -1.0, 2728.6, 3583.1, 4785.0, 6536.3, 9102.3
2020.0, 6.0, 1.0, -1.0, -1.0, -1.0, 2625.7, 3588.6, 5025.5, 6834.1, 9737.0
2020.0, 6.0, 2.0, -1.0, -1.0, -1.0, 2525.8, 3615.6, 5164.9, 7086.6, 10396.0
2020.0, 6.0, 3.0, -1.0, -1.0, -1.0, 2438.6, 3556.7, 5243.1, 7313.4, 10951.3
2020.0, 6.0, 4.0, -1.0, -1.0, -1.0, 2344.5, 3529.4, 5189.4, 7728.9, 11481.8
2020.0, 6.0, 5.0, -1.0, -1.0, -1.0, 2264.2, 3435.1, 5230.8, 8197.2, 11956.6
2020.0, 6.0, 6.0, -1.0, -1.0, -1.0, 2184.4, 3334.8, 5495.2, 8575.8, 12319.8
2020.0, 6.0, 7.0, -1.0, -1.0, -1.0, 2129.6, 3233.9, 5746.5, 8853.8, 12896.8
2020.0, 6.0, 8.0, -1.0, -1.0, -1.0, 2094.8, 3181.7, 5816.1, 9239.2, 13560.1
2020.0, 6.0, 9.0, -1.0, -1.0, -1.0, 2052.8, 3328.9, 5867.9, 10520.4, 14264.8
2020.0, 6.0, 10.0, -1.0, -1.0, -1.0, 2009.8, 3294.9, 6066.6, 11112.6, 14905.3
2020.0, 6.0, 11.0, -1.0, -1.0, -1.0, 1977.1, 3251.1, 5955.1, 11696.0, 15991.8
2020.0, 6.0, 12.0, -1.0, -1.0, -1.0, 1979.7, 3197.0, 6202.3, 12356.4, 18098.2
2020.0, 6.0, 13.0, -1.0, -1.0, -1.0, 1923.1, 3133.7, 6767.4, 12390.9, 19389.7
2020.0, 6.0, 14.0, -1.0, -1.0, -1.0, 1859.9, 3150.9, 7000.8, 13100.2, 21515.8
2020.0, 6.0, 15.0, -1.0, -1.0, -1.0, 1769.5, 3065.0, 7091.7, 13918.7, 23326.9
2020.0, 6.0, 16.0, -1.0, -1.0, -1.0, 1692.4, 3000.2, 7312.7, 15495.2, 25296.8
2020.0, 6.0, 17.0, -1.0, -1.0, -1.0, 1536.3, 2922.9, 7697.1, 16830.2, 27225.1
2020.0, 6.0, 18.0, -1.0, -1.0, -1.0, 1401.5, 2846.0, 8138.4, 18242.4, 29729.0
2020.0, 6.0, 19.0, -1.0, -1.0, -1.0, 1284.6, 2770.2, 8637.6, 19302.2, 32738.8
2020.0, 6.0, 20.0, -1.0, -1.0, -1.0, 1176.8, 2747.4, 8950.5, 19629.9, 37694.9
2020.0, 6.0, 21.0, -1.0, -1.0, -1.0, 1103.3, 2805.6, 9181.2, 21050.1, 42195.9
2020.0, 6.0, 22.0, -1.0, -1.0, -1.0, 1003.6, 2761.5, 9025.2, 22601.9, 46270.1
2020.0, 6.0, 23.0, -1.0, -1.0, -1.0, 905.0, 2565.2, 8670.5, 23620.2, 49928.4
2020.0, 6.0, 24.0, -1.0, -1.0, -1.0, 829.5, 2415.9, 8326.8, 25655.8, 53332.7
2020.0, 6.0, 25.0, -1.0, -1.0, -1.0, 760.5, 2324.8, 7993.7, 25381.5, 55009.7
2020.0, 6.0, 26.0, -1.0, -1.0, -1.0, 697.3, 2195.9, 8389.2, 25005.6, 57069.3
2020.0, 6.0, 27.0, -1.0, -1.0, -1.0, 639.4, 2065.4, 8956.4, 24554.2, 59958.0
2020.0, 6.0, 28.0, -1.0, -1.0, -1.0, 588.2, 1946.9, 9552.2, 26875.0, 64969.9
2020.0, 6.0, 29.0, -1.0, -1.0, -1.0, 542.6, 1835.2, 9876.7, 30507.8, 69375.3
2020.0, 6.0, 30.0, -1.0, -1.0, -1.0, 501.4, 1729.8, 9678.3, 34472.7, 70663.6
2020.0, 7.0, 1.0, -1.0, -1.0, -1.0, 464.8, 1630.4, 9478.7, 36080.9, 71007.4
2020.0, 7.0, 2.0, -1.0, -1.0, -1.0, 430.9, 1536.7, 9278.3, 35663.9, 69885.1
2020.0, 7.0, 3.0, -1.0, -1.0, -1.0, 399.5, 1461.9, 9077.3, 35837.9, 63700.0
2020.0, 7.0, 4.0, -1.0, -1.0, -1.0, 357.3, 1458.9, 8876.2, 34197.6, 59710.2
2020.0, 7.0, 5.0, -1.0, -1.0, -1.0, 321.0, 1492.3, 8675.1, 33179.2, 58042.2
2020.0, 7.0, 6.0, -1.0, -1.0, -1.0, 294.9, 1526.3, 8474.4, 31997.9, 58423.3
2020.0, 7.0, 7.0, -1.0, -1.0, -1.0, 271.0, 1530.6, 8274.3, 30677.4, 56525.1
2020.0, 7.0, 8.0, -1.0, -1.0, -1.0, 249.0, 1447.6, 8193.2, 29243.5, 54645.1
2020.0, 7.0, 9.0, -1.0, -1.0, -1.0, 228.7, 1369.1, 8303.9, 28840.1, 55814.1
2020.0, 7.0, 10.0, -1.0, -1.0, -1.0, 210.2, 1314.6, 8411.5, 29092.6, 56773.4
2020.0, 7.0, 11.0, -1.0, -1.0, -1.0, 193.1, 1294.5, 8516.0, 28866.4, 57176.8
2020.0, 7.0, 12.0, -1.0, -1.0, -1.0, 177.4, 1274.7, 8042.6, 26969.6, 53259.0
2020.0, 7.0, 13.0, -1.0, -1.0, -1.0, 163.0, 1252.7, 7900.9, 27007.7, 50583.8
2020.0, 7.0, 14.0, -1.0, -1.0, -1.0, 149.8, 1199.4, 7344.8, 26097.3, 47103.2
2020.0, 7.0, 15.0, -1.0, -1.0, -1.0, 137.6, 1148.3, 6814.1, 25591.9, 43768.7
2020.0, 7.0, 16.0, -1.0, -1.0, -1.0, 126.4, 1099.3, 6540.8, 23762.9, 41979.8
2020.0, 7.0, 17.0, -1.0, -1.0, -1.0, 116.2, 1052.3, 6359.3, 24131.3, 39296.5
2020.0, 7.0, 18.0, -1.0, -1.0, -1.0, 106.8, 827.2, 6180.5, 24726.7, 37638.9
2020.0, 7.0, 19.0, -1.0, -1.0, -1.0, 98.1, 782.0, 6004.6, 22521.9, 36179.7
2020.0, 7.0, 20.0, -1.0, -1.0, -1.0, 90.1, 739.3, 6057.1, 21133.2, 34178.7
2020.0, 7.0, 21.0, -1.0, -1.0, -1.0, 82.8, 630.2, 6182.2, 20877.2, 32330.7
2020.0, 7.0, 22.0, -1.0, -1.0, -1.0, 76.1, 467.2, 6307.4, 20283.4, 30709.2
2020.0, 7.0, 23.0, -1.0, -1.0, -1.0, 69.9, 440.1, 6185.0, 19773.1, 28680.0
2020.0, 7.0, 24.0, -1.0, -1.0, -1.0, 64.3, 414.6, 5589.6, 19773.8, 27443.6
2020.0, 7.0, 25.0, -1.0, -1.0, -1.0, 58.1, 383.6, 5308.3, 18263.0, 26481.6
2020.0, 7.0, 26.0, -1.0, -1.0, -1.0, 46.0, 294.0, 4911.1, 15119.0, 25737.2
2020.0, 7.0, 27.0, -1.0, -1.0, -1.0, 38.2, 239.7, 4595.6, 12612.7, 24961.4
2020.0, 7.0, 28.0, -1.0, -1.0, -1.0, 32.3, 226.0, 4195.2, 12170.6, 23967.9
2020.0, 7.0, 29.0, -1.0, -1.0, -1.0, 29.4, 213.1, 3873.3, 11733.2, 22045.2
2020.0, 7.0, 30.0, -1.0, -1.0, -1.0, 23.7, 200.9, 3449.4, 11301.4, 20613.9
2020.0, 7.0, 31.0, -1.0, -1.0, -1.0, 18.2, 189.4, 3295.8, 10876.3, 19553.3
2020.0, 8.0, 1.0, -1.0, -1.0, -1.0, 14.1, 178.6, 3008.2, 10458.5, 18806.5
2020.0, 8.0, 2.0, -1.0, -1.0, -1.0, 11.5, 168.4, 2693.0, 9855.6, 18239.2
2020.0, 8.0, 3.0, -1.0, -1.0, -1.0, 9.7, 158.8, 2569.6, 9647.6, 17656.2
2020.0, 8.0, 4.0, -1.0, -1.0, -1.0, 8.4, 149.7, 2271.1, 9033.0, 17116.9
2020.0, 8.0, 5.0, -1.0, -1.0, -1.0, 7.5, 141.1, 2014.1, 8558.8, 16471.1
2020.0, 8.0, 6.0, -1.0, -1.0, -1.0, 6.8, 127.3, 1772.8, 8289.3, 15829.3
2020.0, 8.0, 7.0, -1.0, -1.0, -1.0, 6.1, 106.0, 1565.9, 8139.1, 15193.9
2020.0, 8.0, 8.0, -1.0, -1.0, -1.0, 5.4, 99.9, 1382.8, 7907.7, 14245.3
2020.0, 8.0, 9.0, -1.0, -1.0, -1.0, 4.9, 94.4, 1224.9, 7521.3, 13181.6
2020.0, 8.0, 10.0, -1.0, -1.0, -1.0, 4.4, 89.2, 1190.4, 7116.9, 12246.7
2020.0, 8.0, 11.0, -1.0, -1.0, -1.0, 3.6, 84.3, 1156.5, 6797.8, 11598.0
2020.0, 8.0, 12.0, -1.0, -1.0, -1.0, 2.9, 79.7, 1123.4, 6489.6, 10968.1
2020.0, 8.0, 13.0, -1.0, -1.0, -1.0, 2.3, 75.3, 1091.0, 6021.9, 10510.6
2020.0, 8.0, 14.0, -1.0, -1.0, -1.0, 1.9, 71.2, 1019.1, 5473.2, 9956.9
2020.0, 8.0, 15.0, -1.0, -1.0, -1.0, 1.5, 67.3, 935.4, 5206.1, 9471.8
2020.0, 8.0, 16.0, -1.0, -1.0, -1.0, 1.3, 63.6, 858.5, 5204.3, 9076.5
2020.0, 8.0, 17.0, -1.0, -1.0, -1.0, 1.1, 60.1, 787.8, 4911.3, 8921.1
2020.0, 8.0, 18.0, -1.0, -1.0, -1.0, 1.0, 56.8, 714.2, 4322.9, 8889.7
2020.0, 8.0, 19.0, -1.0, -1.0, -1.0, 0.9, 53.7, 682.1, 3802.4, 8853.9
2020.0, 8.0, 20.0, -1.0, -1.0, -1.0, 0.8, 50.7, 660.8, 3705.2, 8736.8
2020.0, 8.0, 21.0, -1.0, -1.0, -1.0, 0.7, 48.0, 620.5, 3764.5, 8572.1
2020.0, 8.0, 22.0, -1.0, -1.0, -1.0, 0.6, 45.3, 536.6, 3824.0, 8386.6
