año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 49.0, -1.0, -1.0, 29.7, 35.9, 44.1, 62.6, 86.8
2020.0, 4.0, 2.0, 59.0, -1.0, -1.0, 37.8, 46.2, 56.8, 79.4, 114.2
2020.0, 4.0, 3.0, 72.0, -1.0, -1.0, 47.4, 58.5, 72.1, 98.8, 143.8
2020.0, 4.0, 4.0, 86.0, -1.0, -1.0, 59.7, 70.5, 87.6, 120.7, 174.4
2020.0, 4.0, 5.0, 102.0, -1.0, -1.0, 72.8, 86.8, 106.4, 145.0, 210.1
2020.0, 4.0, 6.0, 121.0, -1.0, -1.0, 88.2, 102.7, 129.4, 171.8, 248.5
2020.0, 4.0, 7.0, 143.0, -1.0, -1.0, 106.2, 120.1, 155.1, 201.2, 289.2
2020.0, 4.0, 8.0, 167.0, -1.0, -1.0, 126.7, 142.5, 182.4, 233.2, 335.2
2020.0, 4.0, 9.0, 195.0, -1.0, -1.0, 150.7, 165.3, 214.1, 270.5, 387.5
2020.0, 4.0, 10.0, 226.0, -1.0, -1.0, 177.1, 192.2, 250.8, 307.2, 444.2
2020.0, 4.0, 11.0, 261.0, -1.0, -1.0, 204.9, 222.8, 287.6, 347.1, 509.6
2020.0, 4.0, 12.0, 296.0, -1.0, -1.0, 232.5, 251.0, 327.8, 391.6, 586.8
2020.0, 4.0, 13.0, 332.0, -1.0, -1.0, 266.8, 288.4, 374.4, 439.9, 661.9
2020.0, 4.0, 14.0, 406.0, -1.0, -1.0, 302.5, 336.8, 418.7, 501.9, 738.0
2020.0, 4.0, 15.0, 449.0, -1.0, -1.0, 337.5, 384.7, 467.5, 574.5, 819.5
2020.0, 4.0, 16.0, 486.0, -1.0, -1.0, 376.1, 436.0, 522.7, 651.8, 905.5
2020.0, 4.0, 17.0, 546.0, -1.0, -1.0, 419.6, 490.1, 580.4, 725.6, 1017.5
2020.0, 4.0, 18.0, 650.0, -1.0, -1.0, 467.3, 547.9, 640.8, 791.2, 1139.2
2020.0, 4.0, 19.0, 686.0, -1.0, -1.0, 521.3, 609.1, 710.0, 882.0, 1264.9
2020.0, 4.0, 20.0, 712.0, -1.0, -1.0, 578.1, 670.6, 782.7, 979.7, 1394.2
2020.0, 4.0, 21.0, 857.0, -1.0, -1.0, 637.0, 731.1, 862.6, 1063.3, 1525.4
2020.0, 4.0, 22.0, 970.0, -1.0, -1.0, 700.4, 802.3, 947.5, 1173.8, 1659.4
2020.0, 4.0, 23.0, 1069.0, -1.0, -1.0, 765.2, 872.2, 1030.5, 1287.7, 1797.2
2020.0, 4.0, 24.0, 1221.0, -1.0, -1.0, 830.6, 942.0, 1116.7, 1372.7, 1924.2
