año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, 9.0, -1.0, -1.0, 6.9, 8.1, 10.4, 14.3, 21.2
2020.0, 4.0, 2.0, 10.0, -1.0, -1.0, 8.3, 9.7, 12.3, 16.9, 25.5
2020.0, 4.0, 3.0, 13.0, -1.0, -1.0, 9.8, 11.3, 14.4, 19.4, 29.5
2020.0, 4.0, 4.0, 14.0, -1.0, -1.0, 11.5, 12.9, 16.8, 21.9, 33.2
2020.0, 4.0, 5.0, 16.0, -1.0, -1.0, 13.4, 14.7, 19.3, 24.3, 36.4
2020.0, 4.0, 6.0, 19.0, -1.0, -1.0, 15.3, 16.7, 21.7, 27.3, 40.5
2020.0, 4.0, 7.0, 22.0, -1.0, -1.0, 17.2, 18.7, 24.5, 29.4, 44.2
2020.0, 4.0, 8.0, 24.0, -1.0, -1.0, 19.4, 21.1, 27.2, 32.1, 48.9
2020.0, 4.0, 9.0, 28.0, -1.0, -1.0, 21.3, 24.2, 29.9, 36.7, 53.8
2020.0, 4.0, 10.0, 31.0, -1.0, -1.0, 23.2, 27.5, 32.3, 40.9, 59.1
2020.0, 4.0, 11.0, 35.0, -1.0, -1.0, 25.6, 31.2, 36.4, 47.4, 68.3
2020.0, 4.0, 12.0, 35.0, -1.0, -1.0, 27.7, 33.9, 39.9, 53.4, 73.6
2020.0, 4.0, 13.0, 36.0, -1.0, -1.0, 30.2, 36.0, 43.6, 57.8, 77.3
2020.0, 4.0, 14.0, 74.0, -1.0, -1.0, 32.9, 38.3, 46.9, 64.2, 80.8
2020.0, 4.0, 15.0, 43.0, -1.0, -1.0, 35.8, 40.8, 50.4, 67.1, 85.1
2020.0, 4.0, 16.0, 37.0, -1.0, -1.0, 38.5, 44.3, 53.7, 70.0, 89.4
2020.0, 4.0, 17.0, 60.0, -1.0, -1.0, 40.8, 48.5, 58.3, 74.3, 93.0
2020.0, 4.0, 18.0, 104.0, -1.0, -1.0, 43.5, 52.5, 62.4, 78.6, 96.5
2020.0, 4.0, 19.0, 36.0, -1.0, -1.0, 46.9, 56.0, 66.6, 83.5, 101.3
2020.0, 4.0, 20.0, 26.0, -1.0, -1.0, 50.8, 60.4, 71.0, 88.6, 106.7
2020.0, 4.0, 21.0, 145.0, -1.0, -1.0, 55.7, 64.6, 76.4, 94.0, 112.2
2020.0, 4.0, 22.0, 113.0, -1.0, -1.0, 59.4, 68.3, 81.0, 99.5, 117.8
2020.0, 4.0, 23.0, 99.0, -1.0, -1.0, 63.6, 73.0, 87.3, 101.6, 123.7
2020.0, 4.0, 24.0, 152.0, -1.0, -1.0, 67.7, 77.2, 92.3, 106.1, 129.8
2020.0, 4.0, 25.0, 84.0, -1.0, -1.0, 73.2, 82.0, 95.4, 113.1, 135.8
2020.0, 4.0, 26.0, 46.0, -1.0, -1.0, 78.1, 86.8, 103.1, 119.1, 143.7
2020.0, 4.0, 27.0, 83.0, -1.0, -1.0, 82.5, 91.3, 108.1, 124.6, 151.3
2020.0, 4.0, 28.0, 135.0, -1.0, -1.0, 87.1, 97.4, 115.7, 132.0, 155.8
2020.0, 4.0, 29.0, 163.0, -1.0, -1.0, 91.6, 102.6, 121.1, 138.5, 161.2
2020.0, 4.0, 30.0, 127.0, -1.0, -1.0, 95.3, 108.9, 128.4, 147.1, 168.8
2020.0, 5.0, 1.0, 113.0, -1.0, -1.0, 99.2, 115.0, 137.1, 157.6, 176.4
2020.0, 5.0, 2.0, 89.0, -1.0, -1.0, 103.8, 119.0, 144.7, 167.1, 185.4
2020.0, 5.0, 3.0, 93.0, -1.0, -1.0, 109.0, 124.9, 152.6, 178.1, 197.3
2020.0, 5.0, 4.0, 116.0, -1.0, -1.0, 116.6, 132.0, 158.3, 187.1, 209.1
2020.0, 5.0, 5.0, 237.0, -1.0, -1.0, 121.2, 138.6, 165.4, 197.7, 221.2
2020.0, 5.0, 6.0, 197.0, -1.0, -1.0, 128.3, 147.9, 171.1, 209.1, 234.6
2020.0, 5.0, 7.0, 257.0, -1.0, -1.0, 134.0, 157.0, 179.4, 222.3, 245.7
2020.0, 5.0, 8.0, 199.0, -1.0, -1.0, 139.9, 164.5, 188.2, 236.2, 259.1
2020.0, 5.0, 9.0, 193.0, -1.0, -1.0, 145.5, 170.3, 198.0, 249.6, 274.8
2020.0, 5.0, 10.0, 112.0, -1.0, -1.0, 135.5, 158.7, 184.8, 234.9, 258.4
2020.0, 5.0, 11.0, 108.0, -1.0, -1.0, 157.5, 181.6, 213.1, 274.1, 298.7
2020.0, 5.0, 12.0, 353.0, -1.0, -1.0, 164.9, 193.1, 217.5, 289.0, 313.4
2020.0, 5.0, 13.0, 294.0, -1.0, -1.0, 170.6, 202.1, 227.5, 306.0, 330.0
2020.0, 5.0, 14.0, 257.0, -1.0, -1.0, 176.7, 210.4, 241.4, 312.0, 352.1
2020.0, 5.0, 15.0, 290.0, -1.0, -1.0, 183.0, 212.9, 256.0, 323.9, 376.7
2020.0, 5.0, 16.0, 278.0, -1.0, -1.0, 188.0, 215.0, 269.1, 335.2, 400.7
2020.0, 5.0, 17.0, 132.0, -1.0, -1.0, 192.1, 218.1, 277.0, 345.8, 413.7
2020.0, 5.0, 18.0, 155.0, -1.0, -1.0, 197.1, 225.6, 284.3, 355.7, 436.0
2020.0, 5.0, 19.0, 334.0, -1.0, -1.0, 202.2, 234.5, 292.6, 370.1, 457.9
2020.0, 5.0, 20.0, 424.0, -1.0, -1.0, 209.8, 245.1, 304.0, 378.9, 479.0
2020.0, 5.0, 21.0, 420.0, -1.0, -1.0, 221.4, 257.9, 319.9, 391.1, 499.1
2020.0, 5.0, 22.0, 479.0, -1.0, -1.0, 226.4, 267.3, 333.9, 402.6, 515.7
2020.0, 5.0, 23.0, 190.0, -1.0, -1.0, 236.6, 282.7, 353.5, 409.9, 524.6
2020.0, 5.0, 24.0, 215.0, -1.0, -1.0, 248.8, 295.8, 357.1, 417.6, 556.1
2020.0, 5.0, 25.0, 239.0, -1.0, -1.0, 249.0, 304.8, 361.5, 446.9, 564.0
2020.0, 5.0, 26.0, 501.0, -1.0, -1.0, 248.2, 315.1, 365.7, 457.5, 560.0
2020.0, 5.0, 27.0, 463.0, -1.0, -1.0, 254.1, 324.4, 377.7, 491.5, 573.5
2020.0, 5.0, 28.0, 447.0, -1.0, -1.0, 268.2, 331.6, 401.1, 493.6, 587.4
2020.0, 5.0, 29.0, 371.0, -1.0, -1.0, 270.8, 335.2, 401.0, 510.8, 592.2
2020.0, 5.0, 30.0, 364.0, -1.0, -1.0, 274.8, 334.8, 418.3, 529.3, 628.0
