año, mes, dia, datum, datum_pred, map, q_10, q_25, q_50, q_75, q_90
2020.0, 4.0, 1.0, -1.0, -1.0, -1.0, 572.4, 634.5, 831.3, 1071.9, 1613.9
2020.0, 4.0, 2.0, -1.0, -1.0, -1.0, 660.9, 725.3, 948.2, 1189.9, 1780.5
2020.0, 4.0, 3.0, -1.0, -1.0, -1.0, 753.8, 825.6, 1071.5, 1321.3, 1967.2
2020.0, 4.0, 4.0, -1.0, -1.0, -1.0, 847.2, 914.4, 1208.3, 1438.5, 2177.4
2020.0, 4.0, 5.0, -1.0, -1.0, -1.0, 962.6, 1049.5, 1335.7, 1573.5, 2413.7
2020.0, 4.0, 6.0, -1.0, -1.0, -1.0, 1045.0, 1203.2, 1473.0, 1840.0, 2645.9
2020.0, 4.0, 7.0, -1.0, -1.0, -1.0, 1146.4, 1375.5, 1613.5, 2038.4, 2966.2
2020.0, 4.0, 8.0, -1.0, -1.0, -1.0, 1267.7, 1541.5, 1795.2, 2349.4, 3415.4
2020.0, 4.0, 9.0, -1.0, -1.0, -1.0, 1371.7, 1673.2, 1982.3, 2640.6, 3637.7
2020.0, 4.0, 10.0, -1.0, -1.0, -1.0, 1497.2, 1786.2, 2155.1, 2881.6, 3822.6
2020.0, 4.0, 11.0, -1.0, -1.0, -1.0, 1629.4, 1890.5, 2317.7, 3167.6, 3989.3
2020.0, 4.0, 12.0, -1.0, -1.0, -1.0, 1769.0, 2016.2, 2481.4, 3310.2, 4199.1
2020.0, 4.0, 13.0, -1.0, -1.0, -1.0, 1915.7, 2188.8, 2653.6, 3449.0, 4409.4
2020.0, 4.0, 14.0, -1.0, -1.0, -1.0, 2027.5, 2395.1, 2893.1, 3657.2, 4592.8
2020.0, 4.0, 15.0, -1.0, -1.0, -1.0, 2153.6, 2577.0, 3088.6, 3873.1, 4766.0
2020.0, 4.0, 16.0, -1.0, -1.0, -1.0, 2321.7, 2767.5, 3290.6, 4107.1, 4960.9
2020.0, 4.0, 17.0, -1.0, -1.0, -1.0, 2525.0, 2989.5, 3503.5, 4365.4, 5238.0
2020.0, 4.0, 18.0, -1.0, -1.0, -1.0, 2762.5, 3193.9, 3776.5, 4633.9, 5518.7
2020.0, 4.0, 19.0, -1.0, -1.0, -1.0, 2942.9, 3385.4, 4008.0, 4914.2, 5804.7
2020.0, 4.0, 20.0, -1.0, -1.0, -1.0, 3146.9, 3610.0, 4325.1, 5037.2, 6114.9
2020.0, 4.0, 21.0, -1.0, -1.0, -1.0, 3353.9, 3825.1, 4571.8, 5251.3, 6417.4
2020.0, 4.0, 22.0, -1.0, -1.0, -1.0, 3631.7, 4060.9, 4724.5, 5604.0, 6716.8
2020.0, 4.0, 23.0, -1.0, -1.0, -1.0, 3867.9, 4298.5, 5110.2, 5904.7, 7118.1
2020.0, 4.0, 24.0, -1.0, -1.0, -1.0, 4086.0, 4524.9, 5359.0, 6172.0, 7499.5
2020.0, 4.0, 25.0, -1.0, -1.0, -1.0, 4315.3, 4822.7, 5729.3, 6541.0, 7719.5
2020.0, 4.0, 26.0, -1.0, -1.0, -1.0, 4538.5, 5086.8, 6000.4, 6856.7, 7979.4
2020.0, 4.0, 27.0, -1.0, -1.0, -1.0, 4719.8, 5391.3, 6364.4, 7280.3, 8355.4
2020.0, 4.0, 28.0, -1.0, -1.0, -1.0, 4915.4, 5694.4, 6783.7, 7813.9, 8732.0
2020.0, 4.0, 29.0, -1.0, -1.0, -1.0, 5140.2, 5900.3, 7173.6, 8298.1, 9172.0
2020.0, 4.0, 30.0, -1.0, -1.0, -1.0, 5401.8, 6187.8, 7561.9, 8821.5, 9763.9
2020.0, 5.0, 1.0, -1.0, -1.0, -1.0, 5774.2, 6539.0, 7844.7, 9262.1, 10343.9
2020.0, 5.0, 2.0, -1.0, -1.0, -1.0, 6003.5, 6867.7, 8184.0, 9790.9, 10940.7
2020.0, 5.0, 3.0, -1.0, -1.0, -1.0, 6357.3, 7326.5, 8495.7, 10354.2, 11601.8
2020.0, 5.0, 4.0, -1.0, -1.0, -1.0, 6632.3, 7773.7, 8890.2, 11006.2, 12152.0
2020.0, 5.0, 5.0, -1.0, -1.0, -1.0, 6921.5, 8146.2, 9319.3, 11674.1, 12821.7
2020.0, 5.0, 6.0, -1.0, -1.0, -1.0, 7208.5, 8438.8, 9803.0, 12337.3, 13577.6
2020.0, 5.0, 7.0, -1.0, -1.0, -1.0, 7473.5, 8752.7, 10201.3, 12935.3, 14211.1
2020.0, 5.0, 8.0, -1.0, -1.0, -1.0, 7836.0, 9028.5, 10587.6, 13610.5, 14851.7
2020.0, 5.0, 9.0, -1.0, -1.0, -1.0, 8198.5, 9615.8, 10787.1, 14386.7, 15580.9
2020.0, 5.0, 10.0, -1.0, -1.0, -1.0, 8448.5, 10010.3, 11267.4, 15151.1, 16319.4
2020.0, 5.0, 11.0, -1.0, -1.0, -1.0, 8753.9, 10421.9, 11957.5, 15408.3, 17440.8
2020.0, 5.0, 12.0, -1.0, -1.0, -1.0, 9064.0, 10568.5, 12680.4, 15994.0, 18637.3
2020.0, 5.0, 13.0, -1.0, -1.0, -1.0, 9327.5, 10670.1, 13327.4, 16591.2, 19846.3
2020.0, 5.0, 14.0, -1.0, -1.0, -1.0, 9525.3, 10805.6, 13716.0, 17174.0, 20449.1
2020.0, 5.0, 15.0, -1.0, -1.0, -1.0, 9783.8, 11185.4, 14127.8, 17559.2, 21545.4
2020.0, 5.0, 16.0, -1.0, -1.0, -1.0, 10066.7, 11640.4, 14482.8, 18291.5, 22612.6
2020.0, 5.0, 17.0, -1.0, -1.0, -1.0, 10521.6, 12232.2, 15085.9, 18635.7, 23636.4
2020.0, 5.0, 18.0, -1.0, -1.0, -1.0, 10973.1, 12861.1, 15883.8, 19394.3, 24610.9
2020.0, 5.0, 19.0, -1.0, -1.0, -1.0, 11280.8, 13341.8, 16796.5, 19867.6, 25312.8
2020.0, 5.0, 20.0, -1.0, -1.0, -1.0, 11852.8, 14059.8, 17379.8, 20230.8, 26049.4
2020.0, 5.0, 21.0, -1.0, -1.0, -1.0, 12386.6, 14672.4, 17639.1, 20863.2, 27520.4
2020.0, 5.0, 22.0, -1.0, -1.0, -1.0, 12251.0, 15137.3, 17807.3, 22374.8, 27660.5
2020.0, 5.0, 23.0, -1.0, -1.0, -1.0, 12297.1, 15641.3, 18114.1, 22604.2, 27569.2
2020.0, 5.0, 24.0, -1.0, -1.0, -1.0, 12639.6, 16052.8, 18811.6, 24465.6, 28366.0
2020.0, 5.0, 25.0, -1.0, -1.0, -1.0, 13296.2, 16459.2, 19921.7, 24405.7, 29043.7
2020.0, 5.0, 26.0, -1.0, -1.0, -1.0, 13438.3, 16624.4, 19902.2, 25321.9, 29385.8
2020.0, 5.0, 27.0, -1.0, -1.0, -1.0, 13631.5, 16599.8, 20764.5, 26203.4, 31158.1
2020.0, 5.0, 28.0, -1.0, -1.0, -1.0, 13613.8, 16567.1, 21237.6, 27294.0, 33523.0
2020.0, 5.0, 29.0, -1.0, -1.0, -1.0, 13545.8, 16975.5, 21700.6, 28436.5, 36464.0
2020.0, 5.0, 30.0, -1.0, -1.0, -1.0, 13474.2, 16766.4, 22128.5, 29246.5, 39702.9
2020.0, 5.0, 31.0, -1.0, -1.0, -1.0, 13097.4, 16871.9, 22363.8, 30516.9, 42504.4
2020.0, 6.0, 1.0, -1.0, -1.0, -1.0, 12625.8, 16964.8, 23494.0, 31941.1, 45459.9
2020.0, 6.0, 2.0, -1.0, -1.0, -1.0, 12152.5, 17044.6, 24148.7, 33197.7, 48535.3
2020.0, 6.0, 3.0, -1.0, -1.0, -1.0, 11737.9, 16904.1, 24599.1, 34183.8, 51161.8
2020.0, 6.0, 4.0, -1.0, -1.0, -1.0, 11289.8, 16692.3, 24621.9, 36103.5, 53650.7
2020.0, 6.0, 5.0, -1.0, -1.0, -1.0, 10855.0, 16270.5, 24435.0, 38237.5, 55951.8
2020.0, 6.0, 6.0, -1.0, -1.0, -1.0, 10534.6, 15962.3, 25657.0, 40175.6, 57617.5
2020.0, 6.0, 7.0, -1.0, -1.0, -1.0, 10161.0, 15400.8, 26840.9, 41504.3, 60427.3
2020.0, 6.0, 8.0, -1.0, -1.0, -1.0, 9976.6, 15439.2, 27116.0, 44407.7, 63874.9
