index,date,t,caseso,deathso,casesr,deathsr,lognr,logno,logdr,logdo,aux,dcaseso,ddeathso,dcasesr,ddeathsr
-42,,2020-03-01,42,0,7,0,,,,,-1,,,,
-41,,2020-03-02,52,0,9,0,,,,,-2,10,0,2,0
-40,,2020-03-03,63,0,11,0,,,,,-3,11,0,2,0
-39,,2020-03-04,77,0,14,0,,,,,-4,14,0,3,0
-38,,2020-03-05,94,0,17,0,,,,,-5,17,0,3,0
-37,,2020-03-06,113,0,22,0,,,,,-6,19,0,5,0
-36,,2020-03-07,135,0,27,0,,,,,-7,22,0,5,0
-35,,2020-03-08,162,0,32,0,,,,,-8,27,0,5,0
-34,,2020-03-09,193,0,39,0,,,,,-9,31,0,7,0
-33,,2020-03-10,229,0,48,0,,,,,-10,36,0,9,0
-32,,2020-03-11,270,0,58,0,,,,,-11,41,0,10,0
-31,,2020-03-12,318,0,69,0,,,,,-12,48,0,11,0
-30,,2020-03-13,373,0,83,0,,,,,-13,55,0,14,0
-29,,2020-03-14,436,1,99,0,,,,,-14,63,1,16,0
-28,,2020-03-15,508,1,118,0,,,,,-15,72,0,19,0
-27,,2020-03-16,589,2,139,0,,,,,-16,81,1,21,0
-26,,2020-03-17,682,2,164,1,,,,,-17,93,0,25,1
-25,,2020-03-18,786,3,193,1,,,,,-18,104,1,29,0
-24,,2020-03-19,903,5,226,1,,,,,-19,117,2,33,0
-23,,2020-03-20,1035,7,264,2,,,,,-20,132,2,38,1
-22,,2020-03-21,1183,9,308,3,,,,,-21,148,2,44,1
-21,,2020-03-22,1347,12,357,4,,,,,-22,164,3,49,1
-20,,2020-03-23,1531,15,413,6,,,,,-23,184,3,56,2
-19,,2020-03-24,1734,20,477,8,,,,,-24,203,5,64,2
-18,,2020-03-25,1958,25,549,10,,,,,-25,224,5,72,2
-17,,2020-03-26,2206,32,629,13,,,,,-26,248,7,80,3
-16,,2020-03-27,2479,41,720,16,,,,,-27,273,9,91,3
-15,,2020-03-28,2778,51,822,21,,,,,-28,299,10,102,5
-14,,2020-03-29,3105,63,935,26,,,,,-29,327,12,113,5
-13,,2020-03-30,3463,78,1062,32,,,,,-30,358,15,127,6
-12,,2020-03-31,3852,96,1202,40,,,,,-31,389,18,140,8
-11,,2020-04-01,4275,117,1358,49,,,,,-32,423,21,156,9
-10,,2020-04-02,4734,142,1530,59,,,,,-33,459,25,172,10
-9,,2020-04-03,5230,171,1719,72,,,,,-34,496,29,189,13
-8,,2020-04-04,5765,204,1928,86,,,,,-35,535,33,209,14
-7,,2020-04-05,6342,243,2157,102,,,,,-36,577,39,229,16
-6,,2020-04-06,6961,287,2408,121,,,,,-37,619,44,251,19
-5,,2020-04-07,7625,338,2682,143,,,,,-38,664,51,274,22
-4,,2020-04-08,8336,396,2981,167,,,,,-39,711,58,299,24
-3,,2020-04-09,9095,461,3306,195,,,,,-40,759,65,325,28
-2,,2020-04-10,9904,534,3659,226,,,,,-41,809,73,353,31
-1,,2020-04-11,10765,617,4041,261,,,,,-42,861,83,382,35
0,2020-04-12,2020-04-12,11696,727,4661,296,8.4469852,9.3670025,5.6903596,6.5889263,-43,931,110,620,35
1,2020-04-13,2020-04-13,12566,828,5014,332,8.519989,9.4387503,5.8051348,6.7190132,-44,870,101,353,36
2,2020-04-14,2020-04-14,13638,941,5399,406,8.5939693,9.5206156,6.0063534,6.8469429,-45,1072,113,385,74
3,2020-04-15,2020-04-15,14657,1058,5847,449,8.6736841,9.5926733,6.1070228,6.9641356,-46,1019,117,448,43
4,2020-04-16,2020-04-16,15850,1165,6297,486,8.7478285,9.6709251,6.1862087,7.0604763,-47,1193,107,450,37
5,2020-04-17,2020-04-17,17014,1308,6875,546,8.8356466,9.7417917,6.302619,7.1762547,-48,1164,143,578,60
6,2020-04-18,2020-04-18,18355,1445,7497,650,8.9222584,9.8176575,6.4769726,7.2758646,-49,1341,137,622,104
7,2020-04-19,2020-04-19,19765,1627,8261,686,9.0193005,9.8916683,6.5308776,7.3944931,-50,1410,182,764,36
8,2020-04-20,2020-04-20,21024,1838,8772,712,9.07932,9.9534197,6.568078,7.5164332,-51,1259,211,511,26
9,2020-04-21,2020-04-21,23098,2055,9501,857,9.159152,10.047502,6.753438,7.6280313,-52,2074,217,729,145
10,2020-04-22,2020-04-22,24469,2271,10544,970,9.2633123,10.105163,6.877296,7.7279754,-53,1371,216,1043,113
11,2020-04-23,2020-04-23,25900,2502,11633,1069,9.3616009,10.161998,6.9744787,7.8248458,-54,1431,231,1089,99
12,2020-04-24,2020-04-24,27374,2766,12872,1221,9.4628096,10.217349,7.1074257,7.9251575,-55,1474,264,1239,152
13,2020-04-25,2020-04-25,29125,3056,13842,1305,9.5354624,10.279352,7.1739583,8.0248623,-56,1751,290,970,84
14,2020-04-26,2020-04-26,30938,3365,14676,1351,9.5939684,10.339741,7.2086005,8.1211834,-57,1813,309,834,46
15,2020-04-27,2020-04-27,32560,3649,15529,1434,9.6504641,10.39084,7.2682228,8.2022085,-58,1622,284,853,83
16,2020-04-28,2020-04-28,34546,3972,16752,1569,9.7262726,10.450047,7.3581939,8.2870255,-59,1986,323,1223,135
17,2020-04-29,2020-04-29,36286,4357,17799,1732,9.7868977,10.499187,7.4570322,8.3795395,-60,1740,385,1047,163
18,2020-04-30,2020-04-30,37855,4709,19224,1859,9.8639145,10.541518,7.5277939,8.4572306,-61,1569,352,1425,127
19,2020-05-01,2020-05-01,40000,5119,20739,1972,9.9397717,10.596635,7.5868034,8.5407143,-62,2145,410,1515,113
20,2020-05-02,2020-05-02,42994,5476,22088,2061,10.002789,10.668816,7.6309466,8.6081305,-63,2994,357,1349,89
21,2020-05-03,2020-05-03,45097,5843,23471,2154,10.06352,10.716571,7.6750817,8.6729994,-64,2103,367,1383,93
22,2020-05-04,2020-05-04,47085,6303,24905,2270,10.122824,10.759709,7.7275352,8.7487812,-65,1988,460,1434,116
23,2020-05-05,2020-05-05,49601,6753,26025,2507,10.166813,10.811767,7.8268423,8.8177423,-66,2516,450,1120,237
24,2020-05-06,2020-05-06,52157,7168,27634,2704,10.226802,10.862014,7.9024873,8.8773823,-67,2556,415,1609,197
25,2020-05-07,2020-05-07,54445,7575,29616,2961,10.29607,10.904946,7.9932823,8.9326086,-68,2288,407,1982,257
26,2020-05-08,2020-05-08,56954,8016,31522,3160,10.358441,10.949999,8.0583277,8.9891949,-69,2509,441,1906,199
27,2020-05-09,2020-05-09,59872,8434,33460,3353,10.418106,10.999964,8.1176109,9.0400267,-70,2918,418,1938,193
28,2020-05-10,2020-05-10,62467,8889,35022,3465,10.463732,11.042394,8.1504679,9.0925703,-71,2595,455,1562,112
29,2020-05-11,2020-05-11,65971,9350,36327,3573,10.500317,11.096971,8.1811609,9.1431313,-72,3504,461,1305,108
30,2020-05-12,2020-05-12,69189,9837,38324,3926,10.553832,11.144597,8.2753763,9.1939058,-73,3218,487,1997,353
31,2020-05-13,2020-05-13,72110,10331,40186,4220,10.601274,11.185948,8.3475904,9.2429047,-74,2921,494,1862,294
32,2020-05-14,2020-05-14,74952,10879,42595,4477,10.659492,11.224604,8.4067087,9.29459,-75,2842,548,2409,257
33,2020-05-15,2020-05-15,77830,11436,45032,4767,10.715129,11.262282,8.4694729,9.3445215,-76,2878,557,2437,290
34,2020-05-16,2020-05-16,82062,11970,47144,5045,10.760962,11.31523,8.5261526,9.3901587,-77,4232,534,2112,278
35,2020-05-17,2020-05-17,85202,12554,49219,5177,10.804035,11.35278,8.551981,9.4377947,-78,3140,584,2075,132
36,2020-05-18,2020-05-18,88262,13146,51633,5332,10.851916,11.388065,8.5814819,9.4838724,-79,3060,592,2414,155
37,2020-05-19,2020-05-19,92674,13726,54346,5666,10.903127,11.436843,8.6422386,9.5270472,-80,4412,580,2713,334
38,2020-05-20,2020-05-20,96092,14295,56594,6090,10.943658,11.473062,8.7144032,9.5676651,-81,3418,569,2248,424
39,2020-05-21,2020-05-21,100790,14869,59567,6510,10.994857,11.520795,8.7810946,9.6070337,-82,4698,574,2973,420
40,2020-05-22,2020-05-22,104007,15426,62527,6989,11.043354,11.552214,8.8520927,9.6438093,-83,3217,557,2960,479
41,2020-05-23,2020-05-23,108036,15964,65856,7179,11.095226,11.590219,8.8789158,9.678091,-84,4029,538,3329,190
42,2020-05-24,2020-05-24,111742,16570,68620,7394,11.136339,11.623948,8.9084244,9.7153492,-85,3706,606,2764,215
43,2020-05-25,2020-05-25,115228,17198,71104,7633,11.171899,11.654668,8.9402361,9.7525482,-86,3486,628,2484,239
44,2020-05-26,2020-05-26,120468,17813,74560,8134,11.219359,11.69914,9.003808,9.7876835,-87,5240,615,3456,501
45,2020-05-27,2020-05-27,124312,18409,78023,8597,11.264759,11.73055,9.0591688,9.8205948,-88,3844,596,3463,463
46,2020-05-28,2020-05-28,127992,19035,81400,9044,11.307131,11.759723,9.1098566,9.8540344,-89,3680,626,3377,447
47,2020-05-29,2020-05-29,132184,19612,84627,9415,11.346008,11.79195,9.1500597,9.8838968,-90,4192,577,3227,371
48,2020-05-30,2020-05-30,136398,20222,87512,9779,11.379531,11.823333,9.1879921,9.914526,-91,4214,610,2885,364
49,2020-05-31,2020-05-31,140463,20852,90664,9930,11.414916,11.852699,9.2033157,9.9452047,-92,4065,630,3152,151
50,2020-06-01,2020-06-01,144241,21543,93434,10167,11.44501,11.879241,9.226902,9.9778061,-93,3778,691,2770,237
51,2020-06-02,2020-06-02,151148,22193,97325,10637,11.485811,11.926015,9.2720938,10.007532,-94,6907,650,3891,470
52,2020-06-03,2020-06-03,155478,22868,101238,11728,11.525229,11.95426,9.3697348,10.037494,-95,4330,675,3913,1091
53,2020-06-04,2020-06-04,159763,23523,105680,12545,11.568171,11.981447,9.4370775,10.065734,-96,4285,655,4442,817
54,2020-06-05,2020-06-05,164172,24118,110026,13170,11.608472,12.00867,9.4856968,10.090714,-97,4409,595,4346,625
55,2020-06-06,2020-06-06,169644,24785,113619,13511,11.640606,12.041457,9.5112591,10.117994,-98,5472,667,3593,341
56,2020-06-07,2020-06-07,174740,25472,117103,13699,11.670809,12.071054,9.5250778,10.145335,-99,5096,687,3484,188
57,2020-06-08,2020-06-08,179053,26209,120102,14053,11.696096,12.095437,9.5505915,10.173858,-100,4313,737,2999,354
58,2020-06-09,2020-06-09,184846,26899,124301,14649,11.730461,12.127278,9.5921278,10.199844,-101,5793,690,4199,596
59,2020-06-10,2020-06-10,189538,27605,129184,15357,11.768993,12.152345,9.639327,10.225752,-102,4692,706,4883,708
60,2020-06-11,2020-06-11,195862,28279,133974,15944,11.805401,12.185165,9.6768379,10.249875,-103,6324,674,4790,587
61,2020-06-12,2020-06-12,200457,29013,139196,16448,11.843638,12.208355,9.7079592,10.275499,-104,4595,734,5222,504
62,2020-06-13,2020-06-13,205845,29710,142689,16872,11.868423,12.234879,9.7334108,10.299239,-105,5388,697,3493,424
63,2020-06-14,2020-06-14,210606,30429,146837,17141,11.897079,12.257745,9.7492285,10.323152,-106,4761,719,4148,269
64,2020-06-15,2020-06-15,215238,31143,150263,17580,11.920142,12.2795,9.7745171,10.346345,-107,4632,714,3426,439
65,2020-06-16,2020-06-16,222375,31918,154862,18310,11.95029,12.31212,9.8152027,10.370925,-108,7137,775,4599,730
66,2020-06-17,2020-06-17,227746,32672,159792,19080,11.981628,12.335986,9.8563957,10.394274,-109,5371,754,4930,770
67,2020-06-18,2020-06-18,232369,33349,165453,19747,12.016442,12.356082,9.8907566,10.414783,-110,4623,677,5661,667
68,2020-06-19,2020-06-19,238020,34001,170485,20394,12.046403,12.38011,9.9229956,10.434145,-111,5651,652,5032,647
69,2020-06-20,2020-06-20,243756,34616,175202,20781,12.073695,12.403923,9.9417944,10.452071,-112,5736,615,4717,387
70,2020-06-21,2020-06-21,251277,35310,180545,21825,12.103735,12.434311,9.9908113,10.471922,-113,7521,694,5343,1044
71,2020-06-22,2020-06-22,256044,35978,185122,22584,12.12877,12.453105,10.024997,10.490663,-114,4767,668,4577,759
72,2020-06-23,2020-06-23,262137,36620,191410,23377,12.162173,12.476623,10.059508,10.508349,-115,6093,642,6288,793
73,2020-06-24,2020-06-24,267398,37266,196847,24324,12.190182,12.496493,10.099218,10.525837,-116,5261,646,5437,947
74,2020-06-25,2020-06-25,272617,37892,202951,25060,12.22072,12.515823,10.129028,10.542496,-117,5219,626,6104,736
75,2020-06-26,2020-06-26,278879,38561,208392,25779,12.247176,12.538533,10.157315,10.559997,-118,6262,669,5441,719
76,2020-06-27,2020-06-27,285668,39262,212802,26381,12.268118,12.562586,10.180399,10.578012,-119,6789,701,4410,602
77,2020-06-28,2020-06-28,290965,39954,216852,26648,12.28697,12.580958,10.19047,10.595484,-120,5297,692,4050,267
78,2020-06-29,2020-06-29,297323,40711,220657,27121,12.304365,12.602574,10.208064,10.614254,-121,6358,757,3805,473
79,2020-06-30,2020-06-30,304046,41428,226088,27769,12.32868,12.624934,10.231675,10.631712,-122,6723,717,5431,648
80,2020-07-01,2020-07-01,310760,42122,231770,28510,12.3535,12.646776,10.25801,10.648326,-123,6714,694,5682,741
81,2020-07-02,2020-07-02,319417,42824,238509,29189,12.382162,12.674253,10.281548,10.664854,-124,8657,702,6739,679
82,2020-07-03,2020-07-03,325755,43528,245251,29843,12.410037,12.693901,10.303705,10.68116,-125,6338,704,6742,654
83,2020-07-04,2020-07-04,332524,44267,252165,30366,12.437839,12.714467,10.321079,10.697995,-126,6769,739,6914,523
84,2020-07-05,2020-07-05,338414,45019,256848,30639,12.45624,12.732025,10.330029,10.71484,-127,5890,752,4683,273
85,2020-07-06,2020-07-06,344914,45843,261750,31119,12.475145,12.75105,10.345573,10.732978,-128,6500,824,4902,480
86,2020-07-07,2020-07-07,352118,46668,268008,32014,12.498772,12.771722,10.373929,10.750814,-129,7204,825,6258,895
87,2020-07-08,2020-07-08,358705,47406,275003,32796,12.524537,12.790256,10.398062,10.766504,-130,6587,738,6995,782
88,2020-07-09,2020-07-09,364723,48169,282283,33526,12.550666,12.806893,10.420076,10.782471,-131,6018,763,7280,730
89,2020-07-10,2020-07-10,370894,48898,289174,34191,12.574784,12.823671,10.439717,10.797492,-132,6171,729,6891,665
90,2020-07-11,2020-07-11,380409,49638,295268,34730,12.595638,12.849002,10.455359,10.812512,-133,9515,740,6094,539
91,2020-07-12,2020-07-12,386483,50397,299750,35006,12.610704,12.864843,10.463275,10.827687,-134,6074,759,4482,276
92,2020-07-13,2020-07-13,392839,51226,304435,35491,12.626213,12.881155,10.477035,10.844003,-135,6356,829,4685,485
93,2020-07-14,2020-07-14,400539,52032,311486,36327,12.64911,12.900566,10.500317,10.859614,-136,7700,806,7051,836
94,2020-07-15,2020-07-15,406991,52835,317635,36906,12.668658,12.916547,10.516129,10.874929,-137,6452,803,6149,579
95,2020-07-16,2020-07-16,415100,53650,324041,37574,12.688625,12.936275,10.534067,10.890237,-138,8109,815,6406,668
96,2020-07-17,2020-07-17,421586,54416,331298,38310,12.710773,12.951779,10.553466,10.904413,-139,6486,766,7257,736
97,2020-07-18,2020-07-18,428818,55164,338913,38888,12.733499,12.968788,10.568441,10.918066,-140,7232,748,7615,578
98,2020-07-19,2020-07-19,436034,55968,344224,39184,12.749048,12.985476,10.576024,10.932535,-141,7216,804,5311,296
99,2020-07-20,2020-07-20,442503,56770,349396,39485,12.763961,13.000202,10.583676,10.946763,-142,6469,802,5172,301
100,2020-07-21,2020-07-21,452387,57607,356255,40400,12.783402,13.022293,10.606586,10.961399,-143,9884,837,6859,915
101,2020-07-22,2020-07-22,458434,58358,362274,41190,12.800156,13.035572,10.625951,10.974352,-144,6047,751,6019,790
102,2020-07-23,2020-07-23,464377,59142,370712,41908,12.823181,13.048452,10.643232,10.987697,-145,5943,784,8438,718
103,2020-07-24,2020-07-24,470261,59875,378285,42645,12.843403,13.061043,10.660666,11.000014,-146,5884,733,7573,737
104,2020-07-25,2020-07-25,476654,60652,385036,43374,12.861093,13.074546,10.677615,11.012908,-147,6393,777,6751,729
105,2020-07-26,2020-07-26,484127,61436,390516,43680,12.875224,13.090102,10.684646,11.025751,-148,7473,784,5480,306
106,2020-07-27,2020-07-27,489817,62243,395489,44022,12.887878,13.101788,10.692445,11.038801,-149,5690,807,4973,342
107,2020-07-28,2020-07-28,497159,63022,402697,44876,12.90594,13.116665,10.711658,11.051239,-150,7342,779,7208,854
108,2020-07-29,2020-07-29,503164,63706,408449,45361,12.920122,13.128672,10.722408,11.062034,-151,6005,684,5752,485
109,2020-07-30,2020-07-30,508341,64454,416179,46000,12.93887,13.138907,10.736397,11.073707,-152,5177,748,7730,639
110,2020-07-31,2020-07-31,513656,65129,424637,46688,12.95899,13.149309,10.751243,11.084126,-153,5315,675,8458,688
111,2020-08-01,2020-08-01,519248,65864,434193,47472,12.981244,13.160137,10.767896,11.095347,-154,5592,735,9556,784
112,2020-08-02,2020-08-02,527539,66560,439046,47746,12.992359,13.175978,10.77365,11.105859,-155,8291,696,4853,274
113,2020-08-03,2020-08-03,532816,67316,443813,48012,13.003159,13.185931,10.779206,11.117153,-156,5277,756,4767,266
114,2020-08-04,2020-08-04,539157,68093,449961,48869,13.016916,13.197762,10.796899,11.12863,-157,6341,777,6148,857
115,2020-08-05,2020-08-05,544078,68811,456100,49698,13.030467,13.206848,10.81372,11.139119,-158,4921,718,6139,829
116,2020-08-06,2020-08-06,549744,69506,462690,50517,13.044812,13.217208,10.830065,11.149168,-159,5666,695,6590,819
117,2020-08-07,2020-08-07,554641,70150,469407,51311,13.059225,13.226076,10.84566,11.158391,-160,4897,644,6717,794
118,2020-08-08,2020-08-08,560030,70834,475902,52006,13.072968,13.235745,10.859115,11.168095,-161,5389,684,6495,695
119,2020-08-09,2020-08-09,565633,71488,480278,52298,13.08212,13.245701,10.864714,11.177285,-162,5603,654,4376,292
