delay,frac
0,.0051020407
1,.11297376
2,.18549563
3,.11370263
4,.094387755
5,.05138484
6,.028425656
7,.028425656
8,.022959184
9,.025510205
10,.015670555
11,.013119534
12,.011297376
13,.013119534
14,.014212828
15,.010204081
16,.0069241985
17,.0051020407
18,.0083819246
19,.0061953352
20,.0072886297
21,.0065597668
22,.005830904
23,.0069241985
24,.0069241985
25,.0054664724
26,.0065597668
27,.0061953352
28,.0047376095
29,.0054664724
30,.005830904
31,.0061953352
32,.0054664724
33,.0040087462
34,.0065597668
35,.005830904
36,.005830904
37,.0069241985
38,.0061953352
39,.0043731779
40,.0065597668
41,.0032798834
42,.0036443148
43,.0051020407
44,.0036443148
45,.0069241985
46,.0047376095
47,.0047376095
48,.0072886297
49,.0025510204
50,.0051020407
51,.0051020407
52,.005830904
53,.0040087462
54,.0047376095
55,.0065597668
56,.0080174925
57,.0061953352
58,.0054664724
59,.0043731779
60,.0043731779
